bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1544.0,585.0,5.0,4.0,1.0,1.0,1.0,15.0,True,2,True,4,32-45,True
988.0,147.0,13.0,25.0,5.0,1.0,2.0,20.0,True,2,False,,35-30,True
72.0,10.0,8.0,51.0,13241.0,20.0,8.0,330.0,True,4,False,,35-30,True
467.0,174.0,18.0,40.0,5.0,2.0,2.0,18.0,True,2,False,,45-40,True
61.0,9.0,13.0,36.0,13914.0,21.0,24.0,1076.0,True,4,False,,45-40,True
1677.0,583.0,5.0,5.0,3.0,1.0,1.0,16.0,True,2,True,4,NT-45-30,False
5.0,0.0,0.0,10854.0,12118.0,1.0,0.0,1.0,True,4,True,1,NT-45-30,False
2138.0,738.0,7.0,5.0,3.0,1.0,1.0,16.0,True,2,True,4,NT-55-30,False
0.0,0.0,0.0,10669.0,12921.0,0.0,0.0,3.0,True,4,True,1,NT-55-30,False
1877.0,683.0,5.0,4.0,3.0,1.0,1.0,15.0,True,2,True,4,unknown_2024,True
2.0,0.0,0.0,10905.0,12669.0,1.0,0.0,2.0,True,4,True,1,unknown_2024,True
2144.0,1411.0,6.0,4.0,3.0,1.0,1.0,17.0,True,2,True,4,unknown_2024,True
1.0,0.0,0.0,10808.0,12505.0,1.0,0.0,2.0,True,4,True,1,unknown_2024,True
1789.0,946.0,7.0,4.0,3.0,1.0,1.0,16.0,True,2,True,4,unknown_2024,True
1.0,0.0,0.0,10502.0,12335.0,0.0,0.0,1.0,True,4,True,1,unknown_2024,True
1869.0,749.0,6.0,4.0,3.0,1.0,1.0,16.0,True,2,True,4,unknown_2024,True
1.0,0.0,0.0,10570.0,12229.0,0.0,0.0,2.0,True,4,True,1,unknown_2024,True
584.0,113.0,16.0,56.0,22.0,2.0,3.0,23.0,True,2,False,,unknown_2024,True
120.0,38.0,11.0,78.0,13970.0,23.0,27.0,147.0,True,4,False,,unknown_2024,True
792.0,115.0,10.0,45.0,9.0,2.0,3.0,20.0,True,2,False,,unknown_2024,True
241.0,11.0,7.0,62.0,14235.0,8.0,5.0,91.0,True,4,False,,unknown_2024,True
641.0,103.0,17.0,40.0,30.0,4.0,8.0,27.0,True,2,False,,unknown_2024,True
40.0,33.0,16.0,68.0,12130.0,30.0,38.0,139.0,True,4,False,,unknown_2024,True
869.0,152.0,17.0,35.0,5.0,2.0,2.0,19.0,True,2,False,,unknown_2024,True
70.0,16.0,9.0,90.0,12993.0,57.0,21.0,183.0,True,4,False,,unknown_2024,True
