bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
88.0,71.0,6.0,17.0,6.0,0.0,3.0,21.0,True,2,False,,37-40,True
0.0,6.0,6.0,1006.0,10496.0,4.0,5.0,38.0,True,4,False,,37-40,True
121.0,778.0,90.0,19.0,9.0,1.0,1.0,11.0,True,2,False,,37-42,True
0.0,4.0,3.0,52.0,9123.0,7.0,4.0,10.0,True,4,False,,37-42,True
32.0,109.0,49.0,24.0,14.0,14.0,11.0,10.0,True,2,False,,39-44,True
0.0,6.0,11.0,417.0,6423.0,6.0,7.0,33.0,True,4,False,,39-44,True
67.0,43.0,9.0,29.0,20.0,4.0,5.0,16.0,True,2,False,,41-46,True
0.0,53.0,25.0,2334.0,10710.0,48.0,6.0,32.0,True,4,False,,41-46,True
67.0,29.0,8.0,17.0,59.0,34.0,35.0,22.0,True,2,False,,43-48,True
2.0,3.0,6.0,1438.0,6379.0,6.0,5.0,42.0,True,4,False,,43-48,True
123.0,38.0,6.0,108.0,152.0,53.0,15.0,28.0,True,2,False,,45-50,True
3.0,14.0,66.0,491.0,5283.0,12.0,8.0,34.0,True,4,False,,45-50,True
138.0,82.0,6.0,4.0,1.0,0.0,0.0,26.0,True,2,True,4,NT-35-40,False
83.0,81.0,2.0,16.0,1.0,0.0,1.0,21.0,True,2,True,4,NT-50-40,False
307.0,60.0,4.0,14.0,2.0,0.0,1.0,20.0,True,2,True,4,NT-52-42,False
233.0,76.0,3.0,4.0,1.0,0.0,1.0,20.0,True,2,True,4,NT-54-44,False
211.0,65.0,4.0,3.0,1.0,0.0,1.0,19.0,True,2,True,4,NT-56-48,False
162.0,63.0,8.0,19.0,3.0,1.0,0.0,22.0,True,2,True,4,NT-58-48,False
213.0,68.0,3.0,4.0,2.0,1.0,2.0,19.0,True,2,True,4,NT-60-50,False
