bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
36.0,2563.0,7.0,3.0,2.0,1.0,1.0,20.0,True,2,True,4,45-37,True
0.0,0.0,1.0,5.0,8429.0,7.0,1.0,2.0,True,4,False,,45-37,True
26.0,1001.0,38.0,12.0,5.0,2.0,1.0,21.0,True,2,False,,47-39,True
5.0,86.0,19.0,12.0,4181.0,111.0,11.0,41.0,True,4,False,,47-39,True
17.0,1528.0,21.0,3.0,1.0,1.0,1.0,17.0,True,2,False,,49-41,True
1.0,165.0,35.0,17.0,991.0,155.0,31.0,26.0,True,4,False,,49-41,True
19.0,580.0,92.0,102.0,6.0,2.0,2.0,24.0,True,2,False,,51-43,True
89.0,21.0,13.0,30.0,2482.0,78.0,110.0,173.0,True,4,False,,51-43,True
15.0,603.0,85.0,50.0,6.0,2.0,2.0,22.0,True,2,False,,53-45,True
1.0,71.0,24.0,89.0,2706.0,37.0,10.0,106.0,True,4,False,,53-45,True
15.0,847.0,133.0,35.0,6.0,5.0,3.0,23.0,True,2,False,,55-47,True
3.0,165.0,25.0,53.0,7617.0,122.0,20.0,35.0,True,4,False,,55-47,True
36.0,2760.0,3.0,3.0,2.0,1.0,0.0,22.0,True,2,True,4,NT-45-25,False
0.0,0.0,0.0,8654.0,9880.0,0.0,0.0,1.0,True,4,True,1,NT-45-25,False
49.0,1974.0,8.0,3.0,2.0,1.0,1.0,26.0,True,2,True,4,NT-47-27,False
0.0,0.0,1.0,8942.0,12312.0,0.0,0.0,3.0,True,4,True,1,NT-47-27,False
41.0,1629.0,5.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4,NT-49-29,False
0.0,0.0,0.0,9271.0,12064.0,0.0,0.0,2.0,True,4,True,1,NT-49-29,False
86.0,2076.0,5.0,4.0,2.0,1.0,1.0,24.0,True,2,True,4,NT-51-31,False
0.0,0.0,0.0,9637.0,11950.0,0.0,0.0,3.0,True,4,True,1,NT-51-31,False
110.0,2507.0,4.0,3.0,2.0,1.0,0.0,24.0,True,2,True,4,NT-53-33,False
0.0,0.0,0.0,8729.0,11287.0,0.0,0.0,2.0,True,4,True,1,NT-53-33,False
129.0,1627.0,5.0,4.0,4.0,2.0,1.0,24.0,True,2,True,4,NT-55-35,False
0.0,0.0,1.0,8022.0,13134.0,0.0,0.0,4.0,True,4,True,1,NT-55-35,False
71.0,2361.0,3.0,3.0,2.0,1.0,1.0,22.0,True,2,True,4,NT-NM,False
0.0,0.0,0.0,8741.0,12737.0,0.0,0.0,5.0,True,4,True,1,NT-NM,False
