bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
28.0,1364.0,44.0,7.0,7.0,2.0,2.0,23.0,True,2,False,,45-35,True
2.0,34.0,53.0,224.0,3503.0,136.0,21.0,47.0,True,4,False,,45-35,True
14.0,336.0,23.0,77.0,6.0,1.0,2.0,24.0,True,2,False,,47-37,True
1.0,217.0,58.0,127.0,2307.0,223.0,125.0,125.0,True,4,False,,47-37,True
18.0,345.0,16.0,49.0,5.0,2.0,2.0,25.0,True,2,False,,49-39,True
1.0,76.0,38.0,126.0,3045.0,170.0,55.0,63.0,True,4,False,,49-39,True
16.0,323.0,67.0,164.0,22.0,3.0,2.0,25.0,True,2,False,,51-41,True
0.0,564.0,163.0,59.0,6444.0,91.0,51.0,48.0,True,4,False,,51-41,True
25.0,312.0,33.0,269.0,63.0,8.0,5.0,28.0,True,2,False,,53-43,True
0.0,255.0,156.0,55.0,2383.0,100.0,18.0,20.0,True,4,False,,53-43,True
13.0,313.0,70.0,199.0,48.0,3.0,2.0,22.0,True,2,False,,55-45,True
32.0,1187.0,4.0,5.0,4.0,1.0,1.0,24.0,True,2,True,4,NT-1,False
0.0,1.0,2.0,6487.0,8554.0,2.0,1.0,10.0,True,4,True,1,NT-1,False
15.0,1442.0,6.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4,NT-2,False
0.0,1.0,1.0,6561.0,7923.0,3.0,1.0,9.0,True,4,True,1,NT-2,False
59.0,2005.0,7.0,3.0,2.0,1.0,1.0,24.0,True,2,True,4,NT-3,False
0.0,1.0,1.0,6300.0,7496.0,1.0,0.0,2.0,True,4,True,1,NT-3,False
45.0,2718.0,8.0,3.0,2.0,1.0,1.0,23.0,True,2,True,4,NT-4,False
0.0,1.0,1.0,6078.0,6950.0,1.0,0.0,5.0,True,4,True,1,NT-4,False
29.0,1876.0,6.0,3.0,3.0,1.0,1.0,23.0,True,2,True,4,NT-45-24,False
0.0,0.0,1.0,6032.0,6388.0,2.0,1.0,4.0,True,4,True,1,NT-45-24,False
25.0,1544.0,6.0,5.0,5.0,1.0,1.0,24.0,True,2,True,4,NT-55-34,False
0.0,1.0,1.0,6010.0,8826.0,2.0,1.0,24.0,True,4,True,1,NT-55-34,False
29.0,2578.0,6.0,3.0,2.0,1.0,1.0,22.0,True,2,True,4,NT-NM,False
0.0,0.0,0.0,8443.0,13055.0,0.0,0.0,6.0,True,4,True,1,NT-NM,False
