bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
744.0,610.0,27.0,7.0,5.0,2.0,2.0,24.0,True,2,False,,40-30,True
767.0,38.0,11.0,20.0,6301.0,123.0,29.0,218.0,True,4,False,,40-30,True
702.0,679.0,22.0,4.0,4.0,2.0,2.0,19.0,True,2,False,,42-32,True
764.0,67.0,23.0,31.0,15088.0,156.0,106.0,90.0,True,4,False,,42-32,True
715.0,369.0,24.0,9.0,4.0,1.0,1.0,18.0,True,2,False,,44-34,True
598.0,362.0,15.0,16.0,4.0,2.0,2.0,18.0,True,2,False,,46-36,True
2134.0,364.0,44.0,107.0,13707.0,106.0,30.0,70.0,True,4,False,,46-36,True
608.0,444.0,11.0,5.0,5.0,2.0,2.0,21.0,True,2,False,,48-38,True
364.0,1933.0,112.0,93.0,17301.0,124.0,22.0,86.0,True,4,False,,48-38,True
633.0,483.0,30.0,5.0,5.0,2.0,2.0,19.0,True,2,False,,50-40,True
1270.0,378.0,4.0,3.0,3.0,1.0,2.0,19.0,True,2,True,4,NT-2,False
5.0,0.0,1.0,11066.0,18426.0,1.0,0.0,2.0,True,4,True,1,NT-2,False
724.0,290.0,3.0,3.0,3.0,1.0,1.0,16.0,True,2,True,4,NT-20-36,False
0.0,0.0,0.0,10813.0,16923.0,5.0,0.0,0.0,True,4,True,1,NT-20-36,False
1513.0,351.0,4.0,4.0,3.0,1.0,2.0,16.0,True,2,True,4,NT-3,False
0.0,0.0,1.0,11070.0,18127.0,9.0,1.0,1.0,True,4,True,1,NT-3,False
1364.0,440.0,3.0,4.0,3.0,1.0,2.0,19.0,True,2,True,4,NT-33-50,False
1326.0,435.0,3.0,4.0,3.0,1.0,1.0,20.0,True,2,True,4,NT-36-50,False
1071.0,297.0,3.0,4.0,3.0,1.0,2.0,16.0,True,2,True,4,NT-4,False
0.0,5.0,1.0,10427.0,17562.0,8.0,0.0,1.0,True,4,True,1,NT-4,False
780.0,258.0,4.0,3.0,3.0,1.0,1.0,14.0,True,2,True,4,NT-5,False
0.0,0.0,0.0,10670.0,15554.0,17.0,2.0,1.0,True,4,True,1,NT-5,False
