bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
726.0,332.0,4.0,24.0,4.0,2.0,2.0,22.0,True,2,False,,40-30,True
295.0,278.0,32.0,80.0,13309.0,23.0,15.0,65.0,True,4,False,,40-30,True
672.0,268.0,12.0,39.0,6.0,2.0,2.0,19.0,True,2,False,,42-32,True
737.0,283.0,8.0,9.0,5.0,2.0,2.0,20.0,True,2,False,,44-34,True
213.0,1037.0,98.0,206.0,14801.0,59.0,15.0,12.0,True,4,False,,44-34,True
581.0,161.0,10.0,50.0,5.0,2.0,2.0,24.0,True,2,False,,46-36,True
27.0,1015.0,427.0,178.0,15060.0,46.0,25.0,37.0,True,4,False,,46-36,True
592.0,307.0,6.0,15.0,5.0,2.0,2.0,21.0,True,2,False,,48-38,True
5.0,65.0,2023.0,268.0,13654.0,32.0,22.0,35.0,True,4,False,,48-38,True
612.0,280.0,24.0,8.0,5.0,3.0,3.0,20.0,True,2,False,,50-40,True
7.0,29.0,178.0,3510.0,13009.0,7.0,38.0,72.0,True,4,False,,50-40,True
1488.0,500.0,3.0,4.0,4.0,1.0,2.0,19.0,True,2,True,4,NT-2,False
1114.0,413.0,3.0,3.0,3.0,2.0,2.0,20.0,True,2,True,4,NT-26-40,False
1561.0,491.0,3.0,4.0,3.0,2.0,1.0,22.0,True,2,True,4,NT-3,False
1667.0,491.0,2.0,4.0,3.0,2.0,2.0,19.0,True,2,True,4,NT-36-50,False
1480.0,584.0,2.0,4.0,4.0,1.0,2.0,19.0,True,2,True,4,NT-38-42,False
0.0,0.0,0.0,9043.0,16147.0,4.0,0.0,1.0,True,4,True,1,NT-38-42,False
1462.0,546.0,3.0,4.0,4.0,1.0,2.0,19.0,True,2,True,4,NT-4,False
1326.0,439.0,3.0,4.0,3.0,1.0,2.0,19.0,True,2,True,4,NT-5,False
