bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
540.0,1370.0,4.0,3.0,3.0,1.0,2.0,21.0,True,2,False,,42-20,True
42.0,215.0,26.0,27.0,7610.0,190.0,29.0,18.0,True,4,False,,42-20,True
539.0,2055.0,4.0,4.0,4.0,2.0,2.0,19.0,True,2,False,,44-20,True
30.0,144.0,22.0,19.0,7619.0,104.0,21.0,13.0,True,4,False,,44-20,True
269.0,1513.0,59.0,4.0,4.0,2.0,2.0,19.0,True,2,False,,46-22,True
184.0,23.0,3.0,25.0,7586.0,4.0,3.0,11.0,True,4,False,,46-22,True
464.0,846.0,47.0,56.0,5.0,3.0,2.0,26.0,True,2,False,,48-24,True
1190.0,169.0,7.0,54.0,8662.0,6.0,5.0,4.0,True,4,False,,48-24,True
329.0,374.0,88.0,68.0,4.0,2.0,2.0,21.0,True,2,False,,50-26,True
25.0,1096.0,190.0,102.0,9000.0,2.0,2.0,5.0,True,4,False,,50-26,True
547.0,954.0,108.0,4.0,3.0,1.0,2.0,19.0,True,2,False,,52-28,True
30.0,1362.0,900.0,147.0,9902.0,0.0,0.0,3.0,True,4,False,,52-28,True
1668.0,416.0,3.0,3.0,4.0,1.0,2.0,16.0,True,2,True,4,NT-2,False
1300.0,283.0,3.0,3.0,4.0,2.0,1.0,16.0,True,2,True,4,NT-22-40,False
1406.0,381.0,2.0,3.0,3.0,1.0,2.0,18.0,True,2,True,4,NT-3,False
1314.0,477.0,2.0,3.0,3.0,1.0,2.0,18.0,True,2,True,4,NT-32-50,False
1543.0,390.0,4.0,3.0,2.0,1.0,1.0,16.0,True,2,True,4,NT-4,False
709.0,2294.0,4.0,3.0,4.0,2.0,2.0,19.0,True,2,False,,NT-42-18,False
15.0,26.0,15.0,46.0,7063.0,38.0,25.0,45.0,True,4,False,,NT-42-18,False
1525.0,375.0,3.0,3.0,3.0,1.0,2.0,15.0,True,2,True,4,NT-5,False
