bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1109.0,588.0,4.0,4.0,4.0,2.0,2.0,18.0,True,2,False,,40-30,True
13.0,20.0,9.0,157.0,8900.0,16.0,8.0,19.0,True,4,False,,40-30,True
595.0,506.0,16.0,13.0,5.0,2.0,2.0,22.0,True,2,False,,42-32,True
894.0,35.0,3.0,12.0,11553.0,13.0,5.0,98.0,True,4,False,,42-32,True
722.0,520.0,70.0,25.0,4.0,2.0,1.0,18.0,True,2,False,,44-34,True
1360.0,123.0,12.0,44.0,13444.0,18.0,10.0,49.0,True,4,False,,44-34,True
582.0,218.0,12.0,31.0,5.0,2.0,2.0,19.0,True,2,False,,46-36,True
638.0,113.0,24.0,34.0,10817.0,35.0,12.0,41.0,True,4,False,,46-36,True
610.0,182.0,16.0,21.0,4.0,2.0,2.0,19.0,True,2,False,,48-38,True
1124.0,602.0,44.0,63.0,12956.0,35.0,29.0,68.0,True,4,False,,48-38,True
568.0,325.0,59.0,77.0,5.0,2.0,2.0,21.0,True,2,False,,50-40,True
176.0,2185.0,101.0,134.0,13243.0,22.0,13.0,22.0,True,4,False,,50-40,True
1186.0,517.0,3.0,4.0,3.0,1.0,2.0,20.0,True,2,True,4,NT-1,False
1137.0,472.0,3.0,3.0,3.0,2.0,1.0,19.0,True,2,True,4,NT-2,False
840.0,278.0,4.0,3.0,3.0,1.0,1.0,16.0,True,2,True,4,NT-20-38,False
1.0,0.0,0.0,10051.0,13569.0,0.0,0.0,0.0,True,4,True,1,NT-20-38,False
985.0,376.0,3.0,3.0,3.0,1.0,1.0,19.0,True,2,True,4,NT-3,False
1256.0,533.0,2.0,4.0,4.0,1.0,2.0,19.0,True,2,True,4,NT-30-48,False
0.0,0.0,0.0,9463.0,14009.0,5.0,0.0,1.0,True,4,True,1,NT-30-48,False
1436.0,617.0,2.0,4.0,5.0,2.0,1.0,19.0,True,2,True,4,NT-36-48,False
0.0,0.0,0.0,9453.0,14682.0,3.0,1.0,3.0,True,4,True,1,NT-36-48,False
814.0,309.0,3.0,4.0,3.0,1.0,2.0,18.0,True,2,True,4,NT-4,False
