bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
550.0,170.0,8.0,38.0,5.0,2.0,3.0,26.0,True,2,False,,40-30,True
117.0,32.0,16.0,61.0,1678.0,11.0,6.0,90.0,True,4,False,,40-30,True
603.0,204.0,6.0,29.0,9.0,2.0,3.0,28.0,True,2,False,,42-32,True
660.0,115.0,36.0,163.0,11857.0,13.0,13.0,35.0,True,4,False,,42-32,True
578.0,427.0,4.0,27.0,10.0,3.0,3.0,25.0,True,2,False,,44-34,True
380.0,352.0,47.0,199.0,12570.0,28.0,9.0,23.0,True,4,False,,44-34,True
446.0,259.0,5.0,38.0,6.0,3.0,3.0,26.0,True,2,False,,46-36,True
134.0,439.0,115.0,330.0,9885.0,18.0,13.0,40.0,True,4,False,,46-36,True
1554.0,733.0,2.0,3.0,4.0,2.0,2.0,23.0,True,2,True,4,46-42,True
561.0,343.0,3.0,6.0,3.0,1.0,1.0,19.0,True,2,False,,48-38,True
44.0,1889.0,565.0,460.0,15433.0,0.0,0.0,1.0,True,4,False,,48-38,True
724.0,334.0,3.0,8.0,5.0,1.0,2.0,21.0,True,2,False,,50-40,True
4.0,12.0,1379.0,1788.0,14501.0,1.0,1.0,2.0,True,4,False,,50-40,True
1102.0,492.0,4.0,3.0,3.0,2.0,2.0,18.0,True,2,True,4,NT-26-36,False
1117.0,537.0,3.0,4.0,3.0,1.0,2.0,20.0,True,2,True,4,NT-28-38,False
1257.0,518.0,3.0,4.0,4.0,2.0,2.0,19.0,True,2,True,4,NT-30-40,False
1311.0,635.0,3.0,4.0,3.0,1.0,2.0,18.0,True,2,True,4,NT-32-42,False
1211.0,613.0,2.0,3.0,4.0,2.0,2.0,20.0,True,2,True,4,NT-34-44,False
1361.0,604.0,2.0,4.0,4.0,1.0,2.0,19.0,True,2,True,4,NT-36-46,False
