bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
40.0,128.0,13.0,49.0,5.0,2.0,1.0,21.0,True,2,False,,35-30,True
26.0,67.0,28.0,97.0,5995.0,20.0,18.0,53.0,True,4,False,,35-30,True
35.0,176.0,15.0,13.0,5.0,2.0,1.0,21.0,True,2,False,,37-32,True
17.0,201.0,25.0,52.0,11616.0,85.0,12.0,43.0,True,4,False,,37-32,True
49.0,136.0,17.0,41.0,5.0,2.0,1.0,22.0,True,2,False,,39-34,True
37.0,156.0,27.0,52.0,13075.0,38.0,9.0,28.0,True,4,False,,39-34,True
40.0,180.0,11.0,38.0,6.0,2.0,1.0,17.0,True,2,False,,41-36,True
56.0,221.0,20.0,66.0,12128.0,70.0,11.0,34.0,True,4,False,,41-36,True
24.0,169.0,10.0,21.0,6.0,2.0,1.0,23.0,True,2,False,,43-38,True
52.0,206.0,48.0,42.0,7726.0,32.0,53.0,93.0,True,4,False,,43-38,True
34.0,263.0,11.0,40.0,5.0,2.0,1.0,15.0,True,2,False,,45-40,True
79.0,177.0,24.0,75.0,10831.0,12.0,23.0,69.0,True,4,False,,45-40,True
256.0,230.0,5.0,5.0,5.0,2.0,1.0,15.0,True,2,True,4,NT-1,False
0.0,0.0,0.0,8355.0,11395.0,0.0,0.0,0.0,True,4,True,1,NT-1,False
235.0,239.0,5.0,5.0,4.0,2.0,1.0,16.0,True,2,True,4,NT-2,False
0.0,1.0,0.0,8182.0,11855.0,0.0,0.0,0.0,True,4,True,1,NT-2,False
218.0,227.0,6.0,5.0,4.0,2.0,1.0,14.0,True,2,True,4,NT-3,False
0.0,0.0,0.0,8215.0,11099.0,0.0,0.0,0.0,True,4,True,1,NT-3,False
161.0,172.0,4.0,4.0,3.0,1.0,0.0,13.0,True,2,True,4,NT-31-40,False
224.0,248.0,5.0,4.0,4.0,2.0,1.0,16.0,True,2,True,4,NT-4,False
0.0,3.0,0.0,8457.0,11156.0,0.0,0.0,0.0,True,4,True,1,NT-4,False
198.0,221.0,5.0,4.0,5.0,2.0,1.0,14.0,True,2,True,4,NT-45-28,False
0.0,0.0,0.0,8461.0,11645.0,0.0,0.0,0.0,True,4,True,1,NT-45-28,False
154.0,254.0,5.0,4.0,5.0,2.0,1.0,14.0,True,2,True,4,NT-55-28,False
0.0,1.0,0.0,8313.0,11442.0,0.0,0.0,0.0,True,4,True,1,NT-55-28,False
