bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
92.0,226.0,7.0,4.0,4.0,2.0,1.0,12.0,True,2,True,4,43-28,True
0.0,1.0,1.0,363.0,8587.0,3.0,2.0,8.0,True,4,True,1,43-28,True
74.0,107.0,5.0,5.0,5.0,2.0,1.0,13.0,True,2,False,,45-28,True
148.0,5.0,3.0,30.0,6945.0,2.0,1.0,8.0,True,4,False,,45-28,True
124.0,151.0,4.0,5.0,4.0,2.0,1.0,11.0,True,2,False,,47-28,True
64.0,7.0,4.0,53.0,7728.0,2.0,0.0,31.0,True,4,False,,47-28,True
77.0,150.0,4.0,5.0,6.0,2.0,1.0,12.0,True,2,False,,49-28,True
112.0,6.0,4.0,27.0,8265.0,0.0,0.0,44.0,True,4,False,,49-28,True
70.0,172.0,4.0,5.0,8.0,2.0,1.0,13.0,True,2,False,,51-28,True
17.0,12.0,7.0,43.0,7239.0,3.0,2.0,114.0,True,4,False,,51-28,True
115.0,168.0,4.0,6.0,5.0,2.0,1.0,13.0,True,2,False,,53-28,True
86.0,7.0,6.0,40.0,8258.0,2.0,2.0,148.0,True,4,False,,53-28,True
76.0,176.0,5.0,6.0,5.0,3.0,1.0,15.0,True,2,False,,55-25,True
141.0,26.0,17.0,33.0,7822.0,3.0,1.0,306.0,True,4,False,,55-25,True
200.0,92.0,3.0,5.0,4.0,2.0,1.0,11.0,True,2,True,4,NT-1,False
143.0,147.0,4.0,4.0,3.0,1.0,1.0,12.0,True,2,True,4,NT-2,False
112.0,145.0,4.0,5.0,3.0,1.0,0.0,15.0,True,2,True,4,NT-28-40,False
168.0,161.0,4.0,4.0,3.0,1.0,0.0,12.0,True,2,True,4,NT-3,False
224.0,126.0,4.0,5.0,5.0,2.0,1.0,11.0,True,2,True,4,NT-38-50,False
125.0,157.0,4.0,4.0,2.0,1.0,0.0,13.0,True,2,True,4,NT-4,False
