bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
639.0,42.0,8.0,7.0,5.0,1.0,1.0,18.0,True,2,False,,42-21,True
226.0,18.0,7.0,30.0,9014.0,4.0,2.0,45.0,True,4,False,,42-21,True
905.0,48.0,15.0,11.0,3.0,10.0,5.0,20.0,True,2,False,,44-22,True
565.0,13.0,4.0,28.0,9254.0,3.0,1.0,9.0,True,4,False,,44-22,True
558.0,42.0,12.0,10.0,18.0,25.0,34.0,22.0,True,2,False,,46-23,True
162.0,37.0,10.0,63.0,8414.0,18.0,8.0,42.0,True,4,False,,46-23,True
424.0,55.0,70.0,9.0,10.0,33.0,27.0,26.0,True,2,False,,48-24,True
179.0,96.0,16.0,45.0,7348.0,19.0,7.0,30.0,True,4,False,,48-24,True
796.0,37.0,6.0,4.0,42.0,97.0,60.0,20.0,True,2,False,,50-25,True
77.0,32.0,15.0,46.0,6997.0,10.0,8.0,52.0,True,4,False,,50-25,True
718.0,45.0,31.0,8.0,2.0,1.0,8.0,27.0,True,2,False,,52-26,True
160.0,437.0,26.0,50.0,8591.0,11.0,4.0,15.0,True,4,False,,52-26,True
2713.0,37.0,2.0,3.0,1.0,1.0,1.0,22.0,True,2,True,4,NT-42-45,False
3206.0,42.0,2.0,3.0,2.0,1.0,1.0,24.0,True,2,True,4,NT-44-45,False
2260.0,37.0,2.0,3.0,1.0,0.0,1.0,24.0,True,2,True,4,NT-46-45,False
3287.0,30.0,2.0,3.0,1.0,1.0,1.0,23.0,True,2,True,4,NT-48-45,False
3035.0,41.0,2.0,3.0,2.0,0.0,1.0,25.0,True,2,True,4,NT-50-40,False
2507.0,35.0,3.0,3.0,1.0,0.0,1.0,22.0,True,2,True,4,NT-50-45,False
2184.0,34.0,3.0,4.0,2.0,1.0,1.0,23.0,True,2,True,4,NT-52-45,False
