bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
14.0,148.0,9.0,12.0,25.0,4.0,2.0,14.0,True,2,False,,30-40,True
1.0,4.0,26.0,374.0,16823.0,25.0,14.0,57.0,True,4,False,,30-40,True
40.0,154.0,13.0,14.0,22.0,4.0,2.0,15.0,True,2,False,,32-42,True
63.0,133.0,12.0,20.0,27.0,5.0,2.0,16.0,True,2,False,,34-44,True
34.0,141.0,9.0,50.0,47.0,13.0,4.0,14.0,True,2,False,,36-46,True
0.0,57.0,84.0,212.0,11606.0,98.0,44.0,138.0,True,4,False,,36-46,True
60.0,155.0,9.0,29.0,22.0,2.0,1.0,15.0,True,2,False,,38-48,True
26.0,157.0,13.0,61.0,27.0,1.0,1.0,15.0,True,2,False,,40-50,True
34.0,1756.0,14.0,7.0,3.0,1.0,1.0,11.0,True,2,False,,NT-28-45,False
75.0,3442.0,11.0,8.0,2.0,1.0,1.0,14.0,True,2,True,4,NT-35-45,False
0.0,0.0,0.0,11104.0,16312.0,1.0,0.0,0.0,True,4,True,1,NT-35-45,False
50.0,3468.0,6.0,7.0,1.0,0.0,1.0,15.0,True,2,True,4,NT-37-47,False
0.0,0.0,0.0,8101.0,15436.0,1.0,0.0,1.0,True,4,True,1,NT-37-47,False
93.0,3541.0,7.0,7.0,3.0,1.0,1.0,15.0,True,2,True,4,NT-39-49,False
0.0,0.0,0.0,8350.0,18244.0,2.0,0.0,1.0,True,4,True,1,NT-39-49,False
58.0,3331.0,9.0,7.0,3.0,1.0,0.0,16.0,True,2,True,4,NT-41-51,False
87.0,3403.0,9.0,7.0,3.0,1.0,1.0,15.0,True,2,True,4,NT-43-53,False
112.0,3065.0,9.0,8.0,2.0,1.0,1.0,15.0,True,2,True,4,NT-45-55,False
