bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
41.0,197.0,18.0,16.0,18.0,4.0,2.0,30.0,True,2,False,,40-25,True
0.0,496.0,25.0,62.0,9039.0,16.0,5.0,9.0,True,4,False,,40-25,True
65.0,136.0,21.0,14.0,6.0,3.0,4.0,22.0,True,2,False,,42-27,True
0.0,427.0,143.0,57.0,9516.0,14.0,6.0,6.0,True,4,False,,42-27,True
64.0,205.0,11.0,33.0,12.0,7.0,10.0,31.0,True,2,False,,44-29,True
0.0,399.0,503.0,73.0,9837.0,10.0,9.0,6.0,True,4,False,,44-29,True
36.0,144.0,9.0,7.0,9.0,6.0,4.0,22.0,True,2,False,,46-31,True
0.0,25.0,287.0,255.0,9102.0,12.0,66.0,16.0,True,4,False,,46-31,True
60.0,206.0,39.0,30.0,13.0,7.0,8.0,23.0,True,2,False,,48-33,True
0.0,51.0,227.0,4916.0,9756.0,23.0,82.0,129.0,True,4,False,,48-33,True
75.0,150.0,51.0,52.0,9.0,4.0,9.0,20.0,True,2,False,,50-35,True
5.0,20.0,91.0,2802.0,10862.0,24.0,46.0,161.0,True,4,False,,50-35,True
123.0,1884.0,3.0,3.0,3.0,1.0,1.0,20.0,True,2,True,4,NT-30-40,False
0.0,0.0,0.0,11508.0,12726.0,3.0,9.0,44.0,True,4,True,1,NT-30-40,False
142.0,1805.0,5.0,4.0,2.0,1.0,1.0,22.0,True,2,True,4,NT-32-42,False
0.0,0.0,0.0,11272.0,13215.0,2.0,1.0,18.0,True,4,True,1,NT-32-42,False
125.0,2040.0,3.0,4.0,3.0,1.0,1.0,25.0,True,2,True,4,NT-34-44,False
0.0,0.0,0.0,11284.0,13225.0,2.0,1.0,36.0,True,4,True,1,NT-34-44,False
176.0,1774.0,5.0,5.0,2.0,1.0,1.0,24.0,True,2,True,4,NT-36-46,False
0.0,0.0,0.0,11591.0,13430.0,2.0,1.0,31.0,True,4,True,1,NT-36-46,False
64.0,1940.0,4.0,5.0,3.0,0.0,1.0,23.0,True,2,True,4,NT-38-46,False
64.0,1786.0,4.0,5.0,2.0,1.0,1.0,20.0,True,2,True,4,NT-40-46,False
42.0,1221.0,4.0,5.0,3.0,1.0,1.0,20.0,True,2,True,4,NT-42-46,False
