bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
35.0,330.0,26.0,23.0,6.0,4.0,3.0,23.0,True,2,False,,40-25,True
2.0,1147.0,31.0,63.0,10336.0,20.0,7.0,12.0,True,4,False,,40-25,True
25.0,112.0,40.0,21.0,4.0,1.0,4.0,22.0,True,2,False,,42-27,True
2.0,809.0,46.0,55.0,9473.0,15.0,4.0,15.0,True,4,False,,42-27,True
45.0,334.0,18.0,9.0,4.0,2.0,2.0,28.0,True,2,False,,44-29,True
0.0,1228.0,361.0,60.0,10340.0,21.0,6.0,5.0,True,4,False,,44-29,True
60.0,207.0,41.0,16.0,4.0,3.0,2.0,20.0,True,2,False,,46-31,True
1.0,38.0,1389.0,199.0,11383.0,23.0,56.0,22.0,True,4,False,,46-31,True
51.0,760.0,30.0,5.0,2.0,1.0,1.0,18.0,True,2,False,,48-33,True
0.0,17.0,258.0,1032.0,11047.0,1.0,2.0,8.0,True,4,False,,48-33,True
41.0,190.0,1289.0,7.0,4.0,1.0,1.0,20.0,True,2,False,,50-35,True
0.0,10.0,70.0,5574.0,10500.0,5.0,9.0,6.0,True,4,False,,50-35,True
73.0,1128.0,5.0,5.0,3.0,1.0,1.0,21.0,True,2,True,4,NT-30-40,False
0.0,0.0,1.0,12855.0,13490.0,0.0,0.0,0.0,True,4,True,1,NT-30-40,False
59.0,1458.0,4.0,5.0,3.0,0.0,1.0,21.0,True,2,True,4,NT-32-42,False
0.0,0.0,0.0,12767.0,13552.0,1.0,0.0,0.0,True,4,True,1,NT-32-42,False
58.0,1843.0,5.0,5.0,3.0,0.0,0.0,21.0,True,2,True,4,NT-34-44,False
0.0,0.0,1.0,11464.0,12755.0,0.0,0.0,2.0,True,4,True,1,NT-34-44,False
83.0,1726.0,4.0,4.0,3.0,1.0,1.0,25.0,True,2,True,4,NT-36-46,False
0.0,0.0,0.0,10692.0,13972.0,1.0,1.0,2.0,True,4,True,1,NT-36-46,False
69.0,1935.0,5.0,5.0,3.0,0.0,0.0,27.0,True,2,True,4,NT-38-48,False
0.0,0.0,1.0,10314.0,14032.0,2.0,1.0,2.0,True,4,True,1,NT-38-48,False
157.0,395.0,3.0,4.0,2.0,0.0,0.0,18.0,True,2,True,4,NT-40-50,False
0.0,0.0,1.0,10430.0,13849.0,1.0,1.0,2.0,True,4,True,1,NT-40-50,False
131.0,455.0,3.0,4.0,3.0,1.0,1.0,23.0,True,2,True,4,NT-50-40,False
0.0,0.0,0.0,13137.0,13431.0,0.0,0.0,0.0,True,4,True,1,NT-50-40,False
