"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,1354.0,43.0,8.0,21.0,15.0,2.0,2.0,24.0,True,2.0,False,NaN,32-40,True
1,1.0,2.0,27.0,4029.0,17.0,1.0,1.0,3.0,True,3.0,False,NaN,32-40,True
2,791.0,103.0,19.0,9.0,5.0,1.0,1.0,20.0,True,2.0,False,NaN,32-42,True
3,5.0,20.0,69.0,3892.0,21.0,6.0,5.0,10.0,True,3.0,False,NaN,32-42,True
4,709.0,78.0,22.0,25.0,8.0,2.0,2.0,21.0,True,2.0,False,NaN,32-44,True
5,2.0,16.0,73.0,3932.0,15.0,9.0,8.0,15.0,True,3.0,False,NaN,32-44,True
6,513.0,39.0,15.0,33.0,12.0,2.0,4.0,25.0,True,2.0,False,NaN,32-46,True
7,4.0,7.0,79.0,3669.0,17.0,8.0,7.0,13.0,True,3.0,False,NaN,32-46,True
8,479.0,36.0,14.0,28.0,17.0,3.0,3.0,24.0,True,2.0,False,NaN,32-48,True
9,2.0,9.0,130.0,3927.0,9.0,2.0,3.0,5.0,True,3.0,False,NaN,32-48,True
10,531.0,35.0,18.0,32.0,18.0,3.0,3.0,19.0,True,2.0,False,NaN,32-50,True
11,3.0,7.0,78.0,4140.0,12.0,3.0,3.0,8.0,True,3.0,False,NaN,32-50,True
12,1123.0,9.0,3.0,2.0,1.0,0.0,4.0,1831.0,True,2.0,True,3.0,NT-32-30,False
13,0.0,1.0,10.0,6149.0,59.0,1.0,0.0,6.0,True,3.0,True,1.0,NT-32-30,False
14,510.0,32.0,4.0,4.0,2.0,0.0,2.0,1891.0,True,2.0,True,3.0,NT-32-44,False
15,0.0,1.0,20.0,8391.0,101.0,1.0,1.0,1.0,True,3.0,True,1.0,NT-32-44,False
16,415.0,23.0,3.0,4.0,2.0,0.0,2.0,1846.0,True,2.0,True,3.0,NT-32-47,False
17,0.0,1.0,22.0,9149.0,104.0,1.0,1.0,1.0,True,3.0,True,1.0,NT-32-47,False
18,372.0,20.0,4.0,5.0,2.0,0.0,2.0,1815.0,True,2.0,True,3.0,NT-32-50,False
19,0.0,1.0,25.0,9520.0,107.0,1.0,1.0,1.0,True,3.0,True,1.0,NT-32-50,False
20,475.0,15.0,4.0,4.0,2.0,1.0,4.0,1941.0,True,2.0,True,3.0,NT-34-30,False
21,1.0,1.0,10.0,3461.0,30.0,1.0,0.0,4.0,True,3.0,True,1.0,NT-34-30,False
22,509.0,15.0,4.0,4.0,2.0,1.0,2.0,2067.0,True,2.0,True,3.0,NT-36-30,False
23,1.0,1.0,10.0,4267.0,46.0,1.0,0.0,3.0,True,3.0,True,1.0,NT-36-30,False
24,519.0,19.0,4.0,4.0,1.0,0.0,2.0,2262.0,True,2.0,True,3.0,NT-38-30,False
25,1.0,1.0,11.0,3818.0,29.0,1.0,1.0,2.0,True,3.0,True,1.0,NT-38-30,False
26,586.0,27.0,13.0,22.0,11.0,2.0,1.0,15.0,True,2.0,False,NaN,28-45,True
27,76.0,221.0,104.0,3722.0,8.0,1.0,1.0,7.0,True,3.0,False,NaN,28-45,True
28,637.0,23.0,11.0,15.0,9.0,1.0,1.0,14.0,True,2.0,False,NaN,28-47,True
29,18.0,47.0,212.0,3947.0,9.0,1.0,0.0,3.0,True,3.0,False,NaN,28-47,True
30,417.0,36.0,33.0,31.0,21.0,7.0,3.0,25.0,True,2.0,False,NaN,28-49,True
31,15.0,107.0,722.0,3839.0,11.0,1.0,1.0,2.0,True,3.0,False,NaN,28-49,True
32,608.0,48.0,18.0,15.0,10.0,1.0,1.0,17.0,True,2.0,False,NaN,28-51,True
33,1.0,2.0,49.0,6105.0,17.0,2.0,1.0,2.0,True,3.0,False,NaN,28-51,True
34,616.0,69.0,12.0,12.0,6.0,1.0,1.0,14.0,True,2.0,False,NaN,29-43,True
35,6.0,36.0,79.0,3889.0,13.0,4.0,1.0,4.0,True,3.0,False,NaN,29-43,True
36,993.0,48.0,9.0,17.0,8.0,2.0,2.0,16.0,True,2.0,False,NaN,30-41,True
37,0.0,1.0,49.0,4061.0,10.0,2.0,1.0,1.0,True,3.0,False,NaN,30-41,True
38,577.0,46.0,7.0,4.0,1.0,0.0,5.0,2172.0,True,2.0,True,3.0,NT-31-32,False
39,0.0,0.0,9.0,7695.0,45.0,2.0,0.0,4.0,True,3.0,True,1.0,NT-31-32,False
