"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,1376.0,11.0,3.0,4.0,6.0,2.0,47.0,1513.0,True,2,True,3.0,37-38,False
1,0.0,0.0,19.0,6863.0,160.0,3.0,2.0,4.0,True,3,True,1.0,37-38,False
2,1287.0,20.0,4.0,8.0,6.0,2.0,2.0,22.0,True,2,False,NaN,40-32,True
3,10.0,12.0,20.0,3037.0,31.0,4.0,9.0,21.0,True,3,False,NaN,40-32,True
4,1220.0,36.0,3.0,5.0,5.0,2.0,2.0,22.0,True,2,False,NaN,42-34,True
5,40.0,23.0,14.0,3261.0,31.0,6.0,13.0,37.0,True,3,False,NaN,42-34,True
6,1021.0,86.0,3.0,4.0,5.0,2.0,3.0,19.0,True,2,False,NaN,44-36,True
7,113.0,48.0,13.0,3421.0,32.0,3.0,4.0,17.0,True,3,False,NaN,44-36,True
8,739.0,161.0,9.0,4.0,4.0,2.0,2.0,21.0,True,2,False,NaN,46-38,True
9,170.0,55.0,10.0,3711.0,28.0,2.0,3.0,10.0,True,3,False,NaN,46-38,True
10,1085.0,28.0,4.0,4.0,4.0,2.0,2.0,18.0,True,2,False,NaN,48-40,True
11,53.0,37.0,61.0,3944.0,46.0,3.0,2.0,25.0,True,3,False,NaN,48-40,True
12,2010.0,24.0,3.0,4.0,5.0,2.0,1.0,18.0,True,2,False,NaN,50-42,True
13,4.0,10.0,200.0,4266.0,37.0,4.0,5.0,13.0,True,3,False,NaN,50-42,True
14,983.0,10.0,2.0,3.0,4.0,2.0,3.0,1713.0,True,2,True,3.0,NT-32-45,False
15,0.0,1.0,23.0,8654.0,161.0,1.0,1.0,2.0,True,3,True,1.0,NT-32-45,False
16,853.0,7.0,2.0,3.0,3.0,2.0,3.0,1653.0,True,2,True,3.0,NT-32-47,False
17,0.0,1.0,24.0,9063.0,94.0,1.0,1.0,1.0,True,3,True,1.0,NT-32-47,False
18,834.0,7.0,2.0,3.0,3.0,2.0,3.0,1695.0,True,2,True,3.0,NT-32-49,False
19,0.0,1.0,29.0,9283.0,175.0,2.0,1.0,2.0,True,3,True,1.0,NT-32-49,False
20,1171.0,9.0,2.0,3.0,4.0,1.0,2.0,1595.0,True,2,True,3.0,NT-32-51,False
21,0.0,1.0,28.0,9519.0,179.0,1.0,1.0,1.0,True,3,True,1.0,NT-32-51,False
22,1014.0,9.0,2.0,4.0,3.0,2.0,3.0,1653.0,True,2,True,3.0,NT-32-53,False
23,0.0,1.0,30.0,9862.0,192.0,2.0,1.0,1.0,True,3,True,1.0,NT-32-53,False
24,945.0,8.0,2.0,3.0,4.0,2.0,2.0,1653.0,True,2,True,3.0,NT-32-55,False
25,0.0,1.0,36.0,9948.0,213.0,2.0,1.0,2.0,True,3,True,1.0,NT-32-55,False
26,1383.0,15.0,3.0,5.0,5.0,1.0,2.0,1948.0,True,2,True,3.0,34-45,False
27,0.0,0.0,17.0,9907.0,58.0,2.0,0.0,2.0,True,3,True,1.0,34-45,False
28,1651.0,18.0,3.0,4.0,5.0,2.0,2.0,19.0,True,2,False,NaN,40-36,True
29,0.0,1.0,39.0,3457.0,8.0,1.0,0.0,2.0,True,3,False,NaN,40-36,True
30,1037.0,48.0,3.0,4.0,5.0,2.0,2.0,18.0,True,2,False,NaN,42-38,True
31,65.0,27.0,25.0,3441.0,14.0,3.0,2.0,37.0,True,3,False,NaN,42-38,True
32,947.0,81.0,3.0,4.0,5.0,2.0,2.0,18.0,True,2,False,NaN,44-40,True
33,225.0,23.0,26.0,3588.0,12.0,2.0,1.0,13.0,True,3,False,NaN,44-40,True
34,761.0,179.0,10.0,7.0,5.0,2.0,2.0,19.0,True,2,False,NaN,46-42,True
35,25.0,291.0,99.0,4108.0,15.0,1.0,1.0,2.0,True,3,False,NaN,46-42,True
36,337.0,191.0,21.0,9.0,5.0,2.0,2.0,18.0,True,2,False,NaN,48-44,True
37,929.0,990.0,67.0,3878.0,14.0,1.0,0.0,4.0,True,3,False,NaN,48-44,True
38,954.0,251.0,7.0,4.0,4.0,2.0,2.0,18.0,True,2,False,NaN,50-46,True
39,37.0,402.0,649.0,4554.0,15.0,2.0,1.0,11.0,True,3,False,NaN,50-46,True
40,998.0,8.0,2.0,4.0,3.0,1.0,2.0,1498.0,True,2,True,3.0,NT-28-45,False
41,0.0,0.0,18.0,9848.0,68.0,1.0,0.0,1.0,True,3,True,1.0,NT-28-45,False
42,1051.0,8.0,2.0,4.0,3.0,1.0,2.0,1551.0,True,2,True,3.0,NT-28-47,False
43,0.0,0.0,21.0,9951.0,57.0,1.0,0.0,1.0,True,3,True,1.0,NT-28-47,False
44,1168.0,9.0,2.0,4.0,3.0,1.0,2.0,1543.0,True,2,True,3.0,NT-28-49,False
45,0.0,0.0,21.0,10679.0,54.0,2.0,0.0,2.0,True,3,True,1.0,NT-28-49,False
46,982.0,8.0,2.0,4.0,4.0,2.0,2.0,1478.0,True,2,True,3.0,NT-28-51,False
47,0.0,1.0,22.0,10839.0,82.0,1.0,0.0,1.0,True,3,True,1.0,NT-28-51,False
48,1268.0,10.0,2.0,4.0,4.0,1.0,2.0,1648.0,True,2,True,3.0,NT-28-53,False
49,0.0,0.0,26.0,11012.0,76.0,1.0,1.0,2.0,True,3,True,1.0,NT-28-53,False
50,876.0,8.0,2.0,4.0,3.0,1.0,2.0,1614.0,True,2,True,3.0,NT-28-55,False
51,0.0,0.0,23.0,11258.0,69.0,1.0,1.0,2.0,True,3,True,1.0,NT-28-55,False
52,1216.0,8.0,2.0,4.0,4.0,1.0,2.0,2088.0,True,2,True,3.0,34-45,False
53,1.0,1.0,30.0,8868.0,48.0,2.0,2.0,2.0,True,3,True,1.0,34-45,False
54,588.0,56.0,5.0,8.0,5.0,3.0,3.0,28.0,True,2,False,NaN,40-36,True
55,13.0,17.0,35.0,3131.0,41.0,7.0,6.0,18.0,True,3,False,NaN,40-36,True
56,684.0,63.0,4.0,5.0,5.0,3.0,2.0,18.0,True,2,False,NaN,42-38,True
57,28.0,20.0,34.0,3378.0,54.0,10.0,4.0,21.0,True,3,False,NaN,42-38,True
58,698.0,38.0,5.0,4.0,5.0,2.0,2.0,18.0,True,2,False,NaN,44-40,True
59,13.0,74.0,80.0,3747.0,38.0,2.0,3.0,5.0,True,3,False,NaN,44-40,True
60,727.0,119.0,7.0,6.0,5.0,2.0,2.0,20.0,True,2,False,NaN,46-42,True
61,23.0,180.0,96.0,3921.0,60.0,4.0,5.0,39.0,True,3,False,NaN,46-42,True
62,1009.0,28.0,4.0,5.0,5.0,2.0,2.0,17.0,True,2,False,NaN,48-44,True
63,46.0,55.0,778.0,4018.0,77.0,5.0,5.0,2.0,True,3,False,NaN,48-44,True
64,3028.0,22.0,3.0,4.0,6.0,2.0,1.0,19.0,True,2,False,NaN,50-46,True
65,1.0,2.0,37.0,6817.0,43.0,2.0,5.0,26.0,True,3,True,1.0,50-46,True
66,1208.0,9.0,2.0,3.0,4.0,1.0,1.0,1756.0,True,2,True,3.0,NT-28-45,False
67,0.0,1.0,30.0,8843.0,53.0,1.0,2.0,2.0,True,3,True,1.0,NT-28-45,False
68,1225.0,9.0,2.0,3.0,4.0,1.0,2.0,1674.0,True,2,True,3.0,NT-28-47,False
69,0.0,1.0,34.0,9418.0,52.0,3.0,2.0,2.0,True,3,True,1.0,NT-28-47,False
70,1595.0,25.0,3.0,4.0,3.0,1.0,1.0,18.0,True,2,False,NaN,NT-28-49,False
71,0.0,2.0,36.0,9667.0,58.0,1.0,2.0,1.0,True,3,True,1.0,NT-28-49,False
72,1177.0,9.0,2.0,4.0,3.0,1.0,2.0,1544.0,True,2,True,3.0,NT-28-51,False
73,0.0,1.0,35.0,10049.0,57.0,3.0,2.0,2.0,True,3,True,1.0,NT-28-51,False
74,1201.0,8.0,2.0,4.0,3.0,1.0,2.0,1738.0,True,2,True,3.0,NT-28-53,False
75,1.0,1.0,37.0,10232.0,52.0,3.0,2.0,3.0,True,3,True,1.0,NT-28-53,False
76,1267.0,7.0,2.0,4.0,3.0,1.0,2.0,1533.0,True,2,True,3.0,NT-28-55,False
77,1.0,2.0,48.0,10256.0,58.0,2.0,2.0,2.0,True,3,True,1.0,NT-28-55,False
78,1665.0,24.0,3.0,5.0,12.0,3.0,2.0,22.0,True,2,False,NaN,40-40,True
79,4.0,8.0,90.0,4245.0,27.0,2.0,3.0,11.0,True,3,False,NaN,40-40,True
80,1305.0,14.0,3.0,4.0,5.0,2.0,3.0,1772.0,True,2,True,3.0,42-32,False
81,1.0,2.0,62.0,7154.0,101.0,2.0,2.0,2.0,True,3,True,1.0,42-32,False
82,1813.0,23.0,4.0,5.0,10.0,2.0,2.0,18.0,True,2,False,NaN,42-42,True
83,6.0,7.0,75.0,4473.0,39.0,4.0,10.0,30.0,True,3,False,NaN,42-42,True
84,1960.0,23.0,3.0,4.0,7.0,2.0,2.0,16.0,True,2,False,NaN,44-44,True
85,7.0,5.0,58.0,4684.0,43.0,4.0,7.0,74.0,True,3,False,NaN,44-44,True
86,1640.0,27.0,2.0,4.0,7.0,2.0,2.0,18.0,True,2,False,NaN,46-46,True
87,4.0,10.0,50.0,5570.0,41.0,5.0,8.0,11.0,True,3,True,1.0,46-46,True
88,2545.0,16.0,3.0,6.0,26.0,2.0,2.0,19.0,True,2,False,NaN,48-48,True
89,11.0,6.0,43.0,5807.0,62.0,3.0,4.0,44.0,True,3,True,1.0,48-48,True
90,2697.0,22.0,8.0,25.0,10.0,2.0,2.0,32.0,True,2,False,NaN,50-50,True
91,1.0,4.0,62.0,8169.0,52.0,1.0,1.0,2.0,True,3,True,1.0,50-50,True
92,1216.0,7.0,2.0,4.0,3.0,2.0,2.0,1533.0,True,2,True,3.0,NT-30-45,False
93,1.0,2.0,69.0,7274.0,103.0,2.0,1.0,2.0,True,3,True,1.0,NT-30-45,False
94,1428.0,7.0,2.0,4.0,4.0,2.0,2.0,1709.0,True,2,True,3.0,NT-30-47,False
95,1.0,1.0,65.0,7715.0,115.0,1.0,2.0,4.0,True,3,True,1.0,NT-30-47,False
96,1235.0,7.0,2.0,3.0,3.0,2.0,2.0,1600.0,True,2,True,3.0,NT-30-49,False
97,1.0,3.0,68.0,7488.0,92.0,2.0,1.0,3.0,True,3,True,1.0,NT-30-49,False
98,1104.0,7.0,2.0,4.0,3.0,2.0,2.0,1575.0,True,2,True,3.0,NT-30-51,False
99,1.0,2.0,64.0,7845.0,95.0,2.0,1.0,2.0,True,3,True,1.0,NT-30-51,False
100,1119.0,7.0,3.0,4.0,4.0,2.0,2.0,1600.0,True,2,True,3.0,NT-30-53,False
101,1.0,2.0,65.0,7314.0,94.0,1.0,1.0,3.0,True,3,True,1.0,NT-30-53,False
102,1176.0,7.0,3.0,4.0,4.0,2.0,2.0,1595.0,True,2,True,3.0,NT-30-55,False
103,1.0,3.0,63.0,7769.0,99.0,1.0,1.0,2.0,True,3,True,1.0,NT-30-55,False
