"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,10.0,7.0,16.0,3082.0,21.0,4.0,6.0,18.0,True,3.0,False,NaN,40-32,True
1,643.0,154.0,10.0,6.0,3.0,1.0,1.0,20.0,True,2.0,False,NaN,40-32,True
2,12.0,8.0,18.0,3415.0,23.0,4.0,1.0,14.0,True,3.0,False,NaN,42-34,True
3,771.0,69.0,7.0,17.0,8.0,2.0,2.0,20.0,True,2.0,False,NaN,42-34,True
4,50.0,86.0,25.0,3573.0,18.0,1.0,1.0,8.0,True,3.0,False,NaN,44-36,True
5,423.0,170.0,49.0,11.0,5.0,2.0,2.0,16.0,True,2.0,False,NaN,44-36,True
6,12.0,12.0,66.0,3831.0,34.0,3.0,3.0,9.0,True,3.0,False,NaN,46-38,True
7,1060.0,33.0,4.0,6.0,10.0,2.0,3.0,22.0,True,2.0,False,NaN,46-38,True
8,5.0,7.0,46.0,4041.0,29.0,5.0,4.0,13.0,True,3.0,False,NaN,48-40,True
9,1208.0,43.0,6.0,6.0,4.0,1.0,1.0,23.0,True,2.0,False,NaN,48-40,True
10,8.0,13.0,86.0,4195.0,29.0,1.0,1.0,8.0,True,3.0,False,NaN,50-40,True
11,747.0,156.0,35.0,21.0,13.0,2.0,3.0,29.0,True,2.0,False,NaN,50-40,True
12,1.0,1.0,6.0,6513.0,91.0,1.0,1.0,3.0,True,3.0,True,1.0,NM_36-36,False
13,1237.0,15.0,7.0,4.0,3.0,0.0,7.0,1794.0,True,2.0,True,3.0,NM_36-36,False
14,1.0,2.0,8.0,8445.0,118.0,2.0,2.0,1.0,True,3.0,True,1.0,NT-30-45,False
15,1495.0,7.0,2.0,3.0,2.0,0.0,1.0,2270.0,True,2.0,True,3.0,NT-30-45,False
16,1.0,2.0,9.0,8622.0,86.0,3.0,2.0,1.0,True,3.0,True,1.0,NT-30-47,False
17,1721.0,9.0,2.0,4.0,1.0,0.0,1.0,2517.0,True,2.0,True,3.0,NT-30-47,False
18,1.0,2.0,10.0,8858.0,110.0,2.0,1.0,3.0,True,3.0,True,1.0,NT-30-49,False
19,1550.0,8.0,2.0,3.0,1.0,0.0,1.0,2340.0,True,2.0,True,3.0,NT-30-49,False
20,1.0,2.0,16.0,9224.0,138.0,1.0,1.0,1.0,True,3.0,True,1.0,NT-30-51,False
21,1746.0,8.0,3.0,4.0,2.0,0.0,1.0,3045.0,True,2.0,True,3.0,NT-30-51,False
22,1.0,2.0,13.0,9463.0,106.0,2.0,2.0,1.0,True,3.0,True,1.0,NT-30-53,False
23,1377.0,8.0,2.0,3.0,2.0,0.0,1.0,2460.0,True,2.0,True,3.0,NT-30-53,False
24,1.0,2.0,18.0,9434.0,134.0,2.0,2.0,2.0,True,3.0,True,1.0,NT-30-55,False
25,1623.0,8.0,3.0,3.0,1.0,0.0,1.0,2525.0,True,2.0,True,3.0,NT-30-55,False
26,0.0,0.0,14.0,9132.0,59.0,2.0,0.0,2.0,True,3.0,True,1.0,38-42,False
