"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Exit,outcome
0,5.0,80.0,100.0,2851.0,60.0,4.0,1.0,2.0,True,False,True
1,691.0,48.0,10.0,14.0,10.0,2.0,2.0,24.0,True,False,True
2,4.0,8.0,97.0,3191.0,126.0,6.0,1.0,2.0,True,False,True
3,856.0,42.0,12.0,8.0,8.0,1.0,1.0,15.0,True,False,True
4,15.0,8.0,51.0,3588.0,144.0,4.0,1.0,8.0,True,False,True
5,797.0,46.0,11.0,24.0,10.0,1.0,1.0,16.0,True,False,True
6,1.0,4.0,32.0,5036.0,75.0,3.0,1.0,2.0,True,False,True
7,1364.0,29.0,8.0,10.0,11.0,1.0,1.0,17.0,True,False,True
8,7.0,3.0,19.0,5860.0,118.0,3.0,1.0,8.0,True,False,True
9,1773.0,20.0,7.0,10.0,13.0,1.0,1.0,29.0,True,False,True
10,1.0,2.0,20.0,6733.0,126.0,3.0,1.0,7.0,True,True,True
11,2280.0,15.0,5.0,10.0,7.0,1.0,1.0,50.0,True,False,True
12,1038.0,6.0,2.0,4.0,2.0,1.0,7.0,1858.0,True,True,False
13,0.0,1.0,18.0,2738.0,115.0,3.0,0.0,2.0,True,False,False
14,0.0,0.0,0.0,8918.0,170.0,1.0,1.0,7.0,True,False,False
15,1039.0,7.0,2.0,4.0,3.0,1.0,13.0,1830.0,True,True,False
16,0.0,2.0,32.0,2567.0,130.0,4.0,1.0,3.0,False,False,False
17,0.0,0.0,0.0,8959.0,175.0,1.0,1.0,6.0,True,False,False
18,1156.0,7.0,2.0,3.0,2.0,1.0,14.0,1897.0,True,True,False
19,0.0,3.0,49.0,2595.0,128.0,5.0,1.0,3.0,False,False,False
20,0.0,0.0,1.0,9445.0,180.0,1.0,0.0,6.0,True,True,False
21,1564.0,7.0,2.0,2.0,1.0,1.0,25.0,2002.0,True,True,False
22,0.0,1.0,14.0,7579.0,147.0,4.0,1.0,8.0,True,True,False
23,1385.0,9.0,2.0,3.0,1.0,0.0,15.0,2065.0,True,True,False
24,0.0,1.0,20.0,7604.0,131.0,3.0,1.0,5.0,True,True,False
25,1930.0,10.0,2.0,2.0,1.0,0.0,48.0,2161.0,True,True,False
26,0.0,1.0,22.0,7997.0,132.0,3.0,1.0,6.0,True,True,False
27,1928.0,11.0,4.0,3.0,1.0,0.0,45.0,2026.0,True,True,False
28,0.0,0.0,31.0,7956.0,145.0,3.0,1.0,4.0,True,True,False
29,654.0,18.0,33.0,93.0,4.0,1.0,1.0,16.0,True,False,True
30,13.0,134.0,104.0,3865.0,30.0,8.0,4.0,5.0,True,False,True
31,738.0,11.0,22.0,102.0,8.0,1.0,1.0,16.0,True,False,True
32,58.0,353.0,60.0,4013.0,30.0,7.0,4.0,31.0,True,False,True
33,656.0,12.0,28.0,94.0,8.0,1.0,2.0,16.0,True,False,True
34,120.0,556.0,124.0,3919.0,32.0,6.0,4.0,4.0,True,False,True
35,647.0,26.0,24.0,42.0,13.0,4.0,2.0,19.0,True,False,True
36,10.0,48.0,560.0,4035.0,32.0,9.0,5.0,13.0,True,False,True
37,580.0,15.0,26.0,111.0,17.0,2.0,1.0,21.0,True,False,True
38,6.0,137.0,1409.0,3949.0,34.0,2.0,3.0,4.0,True,False,True
39,687.0,14.0,25.0,85.0,7.0,1.0,1.0,19.0,True,False,True
40,1.0,3.0,82.0,5327.0,30.0,2.0,2.0,1.0,True,False,True
41,1149.0,10.0,2.0,1.0,1.0,0.0,33.0,1953.0,True,True,False
42,1.0,1.0,24.0,6058.0,64.0,1.0,0.0,4.0,True,True,False
43,1227.0,10.0,2.0,2.0,2.0,1.0,25.0,2045.0,True,True,False
44,1.0,1.0,22.0,6078.0,59.0,0.0,0.0,3.0,True,True,False
45,1381.0,10.0,3.0,1.0,1.0,0.0,37.0,2030.0,True,True,False
46,1.0,1.0,24.0,6120.0,66.0,1.0,0.0,1.0,True,True,False
47,1482.0,8.0,3.0,1.0,1.0,1.0,35.0,2051.0,True,True,False
48,1.0,1.0,22.0,6127.0,66.0,1.0,0.0,1.0,True,True,False
49,1938.0,9.0,3.0,3.0,2.0,1.0,74.0,1976.0,True,True,False
50,1.0,1.0,17.0,6411.0,40.0,2.0,1.0,10.0,True,True,False
51,2086.0,12.0,3.0,2.0,2.0,1.0,84.0,1819.0,True,True,False
52,2.0,1.0,22.0,6158.0,58.0,0.0,0.0,2.0,True,True,False
53,2420.0,9.0,3.0,2.0,2.0,1.0,136.0,1590.0,True,True,False
54,2.0,1.0,24.0,6071.0,60.0,1.0,0.0,2.0,True,True,False
55,1181.0,62.0,21.0,10.0,3.0,0.0,0.0,14.0,True,False,True
56,4.0,8.0,108.0,3257.0,37.0,4.0,4.0,8.0,True,False,True
57,1157.0,42.0,76.0,28.0,3.0,0.0,0.0,18.0,True,False,True
58,7.0,13.0,98.0,3504.0,38.0,3.0,3.0,9.0,True,False,True
59,938.0,32.0,49.0,21.0,4.0,1.0,1.0,16.0,True,False,True
60,4.0,9.0,98.0,2913.0,36.0,4.0,4.0,8.0,True,False,True
61,947.0,24.0,63.0,78.0,3.0,1.0,1.0,18.0,True,False,True
62,9.0,9.0,106.0,3040.0,38.0,6.0,3.0,11.0,True,False,True
63,870.0,25.0,69.0,43.0,4.0,1.0,1.0,16.0,True,False,True
64,10.0,10.0,105.0,3063.0,44.0,4.0,4.0,12.0,True,False,True
65,977.0,32.0,60.0,43.0,3.0,1.0,1.0,18.0,True,False,True
66,11.0,9.0,115.0,3096.0,36.0,4.0,3.0,7.0,True,False,True
67,1118.0,8.0,2.0,3.0,2.0,0.0,6.0,1890.0,True,True,False
68,2.0,2.0,39.0,6012.0,49.0,2.0,2.0,9.0,True,True,False
69,1444.0,11.0,4.0,2.0,1.0,0.0,25.0,2035.0,True,True,False
70,2.0,1.0,27.0,4499.0,37.0,2.0,1.0,5.0,True,True,False
