bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1166.0,121.0,19.0,17.0,3.0,1.0,3.0,35.0,True,2,False,,30-40,True
1.0,3.0,57.0,3808.0,50.0,2.0,2.0,3.0,True,3,False,,30-40,True
1106.0,110.0,42.0,59.0,3.0,1.0,1.0,20.0,True,2,False,,30-42,True
26.0,13.0,66.0,3353.0,42.0,4.0,2.0,16.0,True,3,False,,30-42,True
852.0,81.0,52.0,157.0,8.0,0.0,1.0,10.0,True,2,False,,30-44,True
10.0,25.0,114.0,3521.0,36.0,5.0,5.0,7.0,True,3,False,,30-44,True
790.0,49.0,26.0,147.0,17.0,1.0,1.0,10.0,True,2,False,,30-46,True
12.0,40.0,132.0,3735.0,27.0,14.0,10.0,5.0,True,3,False,,30-46,True
958.0,33.0,19.0,101.0,29.0,1.0,1.0,12.0,True,2,False,,30-48,True
1.0,10.0,192.0,4154.0,27.0,4.0,2.0,2.0,True,3,False,,30-48,True
764.0,24.0,78.0,910.0,12.0,0.0,0.0,8.0,True,2,False,,30-50,True
4.0,7.0,123.0,4098.0,35.0,4.0,4.0,37.0,True,3,False,,30-50,True
3.0,1.0,13.0,3521.0,71.0,1.0,1.0,7.0,True,3,True,1,NT-33-30,False
1290.0,12.0,1.0,2.0,1.0,0.0,4.0,2057.0,True,2,True,3,NT-33-30,False
4.0,1.0,11.0,3533.0,69.0,1.0,1.0,6.0,True,3,True,1,NT-34-30,False
834.0,9.0,2.0,3.0,0.0,0.0,4.0,2059.0,True,2,True,3,NT-34-30,False
4.0,1.0,10.0,3543.0,66.0,1.0,1.0,7.0,True,3,True,1,NT-35-30,False
1385.0,13.0,2.0,3.0,0.0,0.0,5.0,2021.0,True,2,True,3,NT-35-30,False
3.0,1.0,12.0,3472.0,58.0,1.0,1.0,6.0,True,3,True,1,NT-36-30,False
1347.0,8.0,3.0,2.0,1.0,0.0,11.0,1900.0,True,2,True,3,NT-36-30,False
3.0,1.0,12.0,3421.0,64.0,1.0,1.0,5.0,True,3,True,1,NT-37-30,False
1101.0,8.0,2.0,2.0,1.0,1.0,56.0,1645.0,True,2,True,3,NT-37-30,False
1.0,1.0,31.0,8361.0,66.0,1.0,1.0,1.0,True,3,True,1,NT-37-40,False
1829.0,14.0,4.0,3.0,2.0,1.0,58.0,1597.0,True,2,True,3,NT-37-40,False
3.0,1.0,12.0,3467.0,59.0,1.0,0.0,4.0,True,3,True,1,NT-38-30,False
1284.0,8.0,2.0,2.0,1.0,1.0,71.0,1473.0,True,2,True,3,NT-38-30,False
