bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
688.0,19.0,10.0,149.0,22.0,1.0,2.0,9.0,True,2,False,,32-42,True
1.0,12.0,230.0,2763.0,15.0,3.0,3.0,4.0,False,,False,,32-42,True
1178.0,193.0,28.0,25.0,6.0,1.0,2.0,27.0,True,2,False,,32-44,True
12.0,9.0,83.0,3060.0,57.0,5.0,4.0,21.0,True,3,False,,32-44,True
1266.0,171.0,19.0,16.0,9.0,3.0,2.0,10.0,True,2,False,,32-46,True
11.0,8.0,65.0,3202.0,40.0,5.0,5.0,18.0,True,3,False,,32-46,True
948.0,166.0,27.0,57.0,8.0,3.0,5.0,24.0,True,2,False,,32-48,True
9.0,9.0,66.0,2879.0,53.0,5.0,4.0,15.0,True,3,False,,32-48,True
1147.0,151.0,58.0,16.0,8.0,1.0,0.0,23.0,True,2,False,,32-50,True
11.0,9.0,99.0,2780.0,48.0,4.0,4.0,19.0,True,3,False,,32-50,True
1089.0,133.0,53.0,14.0,1.0,0.0,0.0,12.0,True,2,False,,32-52,True
11.0,11.0,108.0,2840.0,46.0,4.0,5.0,15.0,True,3,False,,32-52,True
2.0,1.0,11.0,3094.0,53.0,2.0,1.0,4.0,True,3,True,1,NT-28-30,False
1388.0,6.0,1.0,1.0,1.0,0.0,4.0,2162.0,True,2,True,3,NT-28-30,False
1324.0,7.0,1.0,2.0,0.0,0.0,6.0,1883.0,True,2,True,3,NT-30-30-NM,False
2.0,1.0,35.0,6575.0,58.0,5.0,1.0,10.0,True,1,False,,NT-30-30-NM,False
1174.0,4.0,1.0,1.0,1.0,0.0,10.0,1898.0,True,2,True,3,NT-30-30,False
1.0,1.0,10.0,3278.0,52.0,2.0,1.0,6.0,True,3,True,1,NT-30-30,False
1466.0,4.0,1.0,0.0,0.0,0.0,9.0,2200.0,True,2,True,3,NT-32-30,False
1.0,1.0,14.0,3310.0,57.0,3.0,1.0,5.0,True,1,False,,NT-32-30,False
1252.0,9.0,2.0,3.0,0.0,0.0,21.0,1969.0,True,2,True,3,NT-34-30,False
1.0,1.0,17.0,2268.0,57.0,3.0,1.0,4.0,True,1,False,,NT-34-30,False
1492.0,11.0,2.0,2.0,1.0,1.0,52.0,1846.0,True,2,True,3,NT-36-30,False
1.0,1.0,18.0,3647.0,55.0,1.0,1.0,3.0,True,1,False,,NT-36-30,False
1760.0,11.0,3.0,1.0,1.0,1.0,94.0,1635.0,True,2,True,3,NT-38-30,False
0.0,1.0,39.0,1560.0,45.0,3.0,1.0,3.0,False,,False,,NT-38-30,False
