bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1930.0,34.0,5.0,6.0,28.0,3.0,2.0,9.0,True,2,False,,30-40,True
1.0,1.0,31.0,3831.0,36.0,3.0,2.0,2.0,True,3,False,,30-40,True
1950.0,92.0,10.0,6.0,2.0,0.0,0.0,10.0,True,2,False,,30-42,True
1.0,2.0,35.0,3897.0,43.0,2.0,2.0,2.0,True,3,False,,30-42,True
1948.0,102.0,8.0,6.0,2.0,0.0,0.0,8.0,True,2,False,,30-44,True
2.0,2.0,35.0,4302.0,44.0,4.0,2.0,2.0,True,3,False,,30-44,True
1460.0,145.0,17.0,37.0,2.0,0.0,1.0,17.0,True,2,False,,30-46,True
2.0,2.0,39.0,4463.0,26.0,2.0,3.0,3.0,True,3,False,,30-46,True
1609.0,150.0,22.0,34.0,1.0,0.0,0.0,12.0,True,2,False,,30-48,True
2.0,1.0,44.0,4591.0,39.0,4.0,2.0,3.0,True,3,False,,30-48,True
887.0,117.0,193.0,210.0,4.0,0.0,0.0,10.0,True,2,False,,30-50,True
39.0,52.0,104.0,3426.0,35.0,9.0,4.0,17.0,True,3,False,,30-50,True
1105.0,8.0,2.0,2.0,0.0,0.0,3.0,1690.0,True,2,True,3,NT-28-30,False
1.0,1.0,11.0,6360.0,93.0,1.0,1.0,5.0,True,1,False,,NT-28-30,False
1224.0,7.0,1.0,1.0,0.0,0.0,4.0,1801.0,True,2,True,3,NT-30-30,False
1.0,1.0,8.0,5348.0,88.0,1.0,1.0,5.0,True,3,True,1,NT-30-30,False
1005.0,5.0,2.0,2.0,0.0,0.0,7.0,1871.0,True,2,True,3,NT-32-30,False
1.0,1.0,7.0,5075.0,75.0,1.0,0.0,3.0,True,3,True,1,NT-32-30,False
1186.0,11.0,3.0,3.0,1.0,0.0,24.0,1890.0,True,2,True,3,NT-34-30,False
0.0,1.0,8.0,5416.0,77.0,1.0,1.0,2.0,True,3,True,1,NT-34-30,False
1505.0,11.0,2.0,1.0,1.0,1.0,55.0,1781.0,True,2,True,3,NT-36-30,False
0.0,0.0,5.0,5041.0,103.0,1.0,0.0,1.0,True,3,True,1,NT-36-30,False
1352.0,12.0,2.0,1.0,1.0,0.0,59.0,1756.0,True,2,True,3,NT-38-30,False
1.0,1.0,8.0,4689.0,65.0,1.0,0.0,1.0,True,3,True,1,NT-38-30,False
1334.0,13.0,2.0,1.0,1.0,0.0,91.0,1648.0,True,2,True,3,NT-40-30,False
1.0,1.0,9.0,4659.0,59.0,1.0,0.0,1.0,True,3,True,1,NT-40-30,False
