bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1.0,1.0,29.0,7556.0,53.0,1.0,2.0,8.0,True,3,True,1,38-42,True
1286.0,19.0,5.0,4.0,3.0,1.0,27.0,1173.0,True,2,True,3,38-42,True
6.0,4.0,35.0,2627.0,36.0,3.0,3.0,20.0,True,3,False,,40-30,True
2180.0,18.0,7.0,21.0,22.0,1.0,1.0,74.0,True,2,False,,40-30,True
1.0,2.0,42.0,3132.0,48.0,2.0,1.0,1.0,True,3,False,,42-32,True
769.0,70.0,7.0,10.0,3.0,1.0,1.0,22.0,True,2,False,,42-32,True
22.0,7.0,28.0,3204.0,55.0,3.0,4.0,14.0,True,3,False,,44-34,True
638.0,143.0,11.0,7.0,2.0,1.0,1.0,17.0,True,2,False,,44-34,True
16.0,28.0,55.0,3419.0,40.0,6.0,3.0,16.0,True,3,False,,46-36,True
313.0,180.0,25.0,5.0,15.0,6.0,3.0,15.0,True,2,False,,46-36,True
9.0,53.0,107.0,3587.0,50.0,2.0,4.0,15.0,True,3,False,,48-38,True
245.0,92.0,62.0,44.0,15.0,3.0,3.0,21.0,True,2,False,,48-38,True
6.0,9.0,142.0,3935.0,50.0,3.0,2.0,2.0,True,3,False,,50-40,True
645.0,119.0,15.0,7.0,3.0,1.0,1.0,18.0,True,2,False,,50-40,True
1.0,1.0,45.0,9674.0,57.0,2.0,2.0,4.0,True,3,True,1,NT-30-45,False
1264.0,8.0,4.0,3.0,2.0,0.0,3.0,1920.0,True,2,True,3,NT-30-45,False
1.0,1.0,35.0,9422.0,59.0,1.0,2.0,2.0,True,3,True,1,NT-30-47,False
1353.0,7.0,3.0,3.0,1.0,0.0,2.0,2039.0,True,2,True,3,NT-30-47,False
0.0,2.0,35.0,9062.0,57.0,2.0,2.0,1.0,True,3,True,1,NT-30-49,False
1323.0,7.0,3.0,2.0,1.0,0.0,3.0,1986.0,True,2,True,3,NT-30-49,False
1.0,2.0,44.0,10085.0,56.0,3.0,2.0,7.0,True,3,True,1,NT-30-51,False
1808.0,8.0,2.0,4.0,2.0,0.0,1.0,2573.0,True,2,True,3,NT-30-51,False
1.0,2.0,51.0,10278.0,51.0,2.0,2.0,2.0,True,3,True,1,NT-30-53,False
1626.0,8.0,3.0,3.0,2.0,0.0,1.0,2267.0,True,2,True,3,NT-30-53,False
1.0,2.0,49.0,9749.0,65.0,2.0,2.0,2.0,True,3,True,1,NT-30-55,False
1193.0,8.0,3.0,3.0,2.0,0.0,3.0,1903.0,True,2,True,3,NT-30-55,False
