bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1354.0,43.0,8.0,21.0,15.0,2.0,2.0,24.0,True,2,False,,32-40,True
1.0,2.0,27.0,4029.0,17.0,1.0,1.0,3.0,True,3,False,,32-40,True
791.0,103.0,19.0,9.0,5.0,1.0,1.0,20.0,True,2,False,,32-42,True
5.0,20.0,69.0,3892.0,21.0,6.0,5.0,10.0,True,3,False,,32-42,True
709.0,78.0,22.0,25.0,8.0,2.0,2.0,21.0,True,2,False,,32-44,True
2.0,16.0,73.0,3932.0,15.0,9.0,8.0,15.0,True,3,False,,32-44,True
513.0,39.0,15.0,33.0,12.0,2.0,4.0,25.0,True,2,False,,32-46,True
4.0,7.0,79.0,3669.0,17.0,8.0,7.0,13.0,True,3,False,,32-46,True
479.0,36.0,14.0,28.0,17.0,3.0,3.0,24.0,True,2,False,,32-48,True
2.0,9.0,130.0,3927.0,9.0,2.0,3.0,5.0,True,3,False,,32-48,True
531.0,35.0,18.0,32.0,18.0,3.0,3.0,19.0,True,2,False,,32-50,True
3.0,7.0,78.0,4140.0,12.0,3.0,3.0,8.0,True,3,False,,32-50,True
1123.0,9.0,3.0,2.0,1.0,0.0,4.0,1831.0,True,2,True,3,NT-32-30,False
0.0,1.0,10.0,6149.0,59.0,1.0,0.0,6.0,True,3,True,1,NT-32-30,False
510.0,32.0,4.0,4.0,2.0,0.0,2.0,1891.0,True,2,True,3,NT-32-44,False
0.0,1.0,20.0,8391.0,101.0,1.0,1.0,1.0,True,3,True,1,NT-32-44,False
415.0,23.0,3.0,4.0,2.0,0.0,2.0,1846.0,True,2,True,3,NT-32-47,False
0.0,1.0,22.0,9149.0,104.0,1.0,1.0,1.0,True,3,True,1,NT-32-47,False
372.0,20.0,4.0,5.0,2.0,0.0,2.0,1815.0,True,2,True,3,NT-32-50,False
0.0,1.0,25.0,9520.0,107.0,1.0,1.0,1.0,True,3,True,1,NT-32-50,False
475.0,15.0,4.0,4.0,2.0,1.0,4.0,1941.0,True,2,True,3,NT-34-30,False
1.0,1.0,10.0,3461.0,30.0,1.0,0.0,4.0,True,3,True,1,NT-34-30,False
509.0,15.0,4.0,4.0,2.0,1.0,2.0,2067.0,True,2,True,3,NT-36-30,False
1.0,1.0,10.0,4267.0,46.0,1.0,0.0,3.0,True,3,True,1,NT-36-30,False
519.0,19.0,4.0,4.0,1.0,0.0,2.0,2262.0,True,2,True,3,NT-38-30,False
1.0,1.0,11.0,3818.0,29.0,1.0,1.0,2.0,True,3,True,1,NT-38-30,False
