bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1149.0,13.0,3.0,5.0,4.0,1.0,1.0,1604.0,True,2,True,3,34-45,True
0.0,1.0,40.0,8225.0,60.0,3.0,2.0,3.0,True,3,True,1,34-45,True
323.0,79.0,18.0,12.0,12.0,3.0,5.0,27.0,True,2,False,,40-34,True
24.0,11.0,33.0,3301.0,40.0,4.0,3.0,7.0,True,3,False,,40-34,True
256.0,84.0,20.0,17.0,7.0,2.0,7.0,28.0,True,2,False,,42-36,True
11.0,10.0,37.0,3107.0,52.0,7.0,5.0,26.0,True,3,False,,42-36,True
12.0,108.0,104.0,3598.0,36.0,3.0,2.0,4.0,True,3,False,,44-38,True
423.0,132.0,125.0,53.0,19.0,6.0,5.0,28.0,True,2,False,,44-38,True
135.0,44.0,176.0,617.0,5.0,1.0,2.0,22.0,True,2,False,,46-40,True
10.0,67.0,112.0,3520.0,34.0,6.0,5.0,5.0,True,3,False,,46-40,True
2.0,12.0,250.0,3962.0,57.0,2.0,2.0,2.0,True,3,False,,48-42,True
351.0,99.0,55.0,700.0,6.0,1.0,2.0,22.0,True,2,False,,48-42,True
120.0,37.0,17.0,570.0,18.0,2.0,2.0,23.0,True,2,False,,50-44,True
1.0,5.0,129.0,3924.0,35.0,2.0,2.0,3.0,True,3,False,,50-44,True
1215.0,9.0,2.0,4.0,3.0,1.0,2.0,1357.0,True,2,True,3,NT-28-45,False
1.0,1.0,40.0,8047.0,72.0,4.0,2.0,5.0,True,3,True,1,NT-28-45,False
1.0,1.0,41.0,8043.0,71.0,3.0,2.0,3.0,True,3,True,1,NT-28-47,False
1255.0,10.0,2.0,3.0,2.0,1.0,2.0,1564.0,True,2,True,3,NT-28-47,False
1108.0,8.0,2.0,4.0,4.0,1.0,2.0,1382.0,True,2,True,3,NT-28-49,False
0.0,1.0,45.0,8243.0,55.0,2.0,2.0,3.0,True,3,True,1,NT-28-49,False
889.0,6.0,2.0,3.0,3.0,1.0,2.0,1492.0,True,2,True,3,NT-28-51,False
0.0,1.0,48.0,8425.0,60.0,3.0,2.0,2.0,True,3,True,1,NT-28-51,False
0.0,1.0,49.0,8658.0,90.0,2.0,2.0,3.0,True,1,False,,NT-28-53,False
1373.0,9.0,2.0,3.0,2.0,1.0,2.0,1441.0,True,2,True,3,NT-28-53,False
0.0,1.0,51.0,8978.0,71.0,7.0,2.0,3.0,True,1,False,,NT-28-55,False
1362.0,9.0,2.0,3.0,3.0,1.0,2.0,1528.0,True,2,True,3,NT-28-55,False
