bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
29.0,9.0,32.0,2638.0,75.0,4.0,3.0,25.0,True,3,False,,40-30,True
547.0,110.0,18.0,19.0,10.0,1.0,2.0,21.0,True,2,False,,40-30,True
1.0,2.0,73.0,7243.0,105.0,3.0,2.0,3.0,True,3,True,1,41-41,True
1577.0,13.0,5.0,4.0,3.0,1.0,98.0,1129.0,True,2,True,3,41-41,True
32.0,12.0,41.0,2941.0,89.0,3.0,2.0,15.0,True,3,False,,42-32,True
509.0,123.0,206.0,93.0,2.0,1.0,1.0,16.0,True,2,False,,42-32,True
45.0,25.0,68.0,3193.0,80.0,5.0,4.0,14.0,True,3,False,,44-34,True
402.0,146.0,51.0,14.0,10.0,2.0,4.0,19.0,True,2,False,,44-34,True
24.0,15.0,108.0,3487.0,64.0,2.0,1.0,5.0,True,3,False,,46-36,True
618.0,110.0,10.0,11.0,4.0,1.0,1.0,22.0,True,2,False,,46-36,True
9.0,17.0,96.0,3698.0,65.0,3.0,2.0,4.0,True,3,False,,48-38,True
475.0,165.0,25.0,39.0,5.0,1.0,1.0,23.0,True,2,False,,48-38,True
3.0,11.0,85.0,4183.0,47.0,2.0,2.0,6.0,True,3,False,,50-40,True
456.0,301.0,75.0,10.0,5.0,1.0,2.0,18.0,False,,False,,50-40,True
1.0,2.0,62.0,7249.0,93.0,2.0,1.0,3.0,True,3,True,1,NT-26-45,False
1735.0,9.0,2.0,4.0,2.0,0.0,1.0,2550.0,True,2,True,3,NT-26-45,False
1.0,2.0,66.0,7383.0,84.0,2.0,1.0,2.0,True,3,True,1,NT-26-47,False
1555.0,7.0,2.0,3.0,3.0,0.0,1.0,2252.0,True,2,True,3,NT-26-47,False
1.0,4.0,65.0,7552.0,91.0,2.0,1.0,2.0,True,3,True,1,NT-26-49,False
1816.0,9.0,2.0,3.0,2.0,0.0,1.0,2485.0,True,2,True,3,NT-26-49,False
1.0,2.0,69.0,7411.0,93.0,2.0,2.0,3.0,True,3,True,1,NT-26-51,False
1574.0,7.0,2.0,5.0,3.0,0.0,1.0,2211.0,True,2,True,3,NT-26-51,False
1.0,2.0,74.0,7467.0,101.0,2.0,1.0,2.0,True,3,True,1,NT-26-53,False
1303.0,8.0,3.0,4.0,3.0,1.0,1.0,1579.0,True,2,True,3,NT-26-53,False
1.0,3.0,77.0,7391.0,87.0,1.0,1.0,2.0,True,3,True,1,NT-26-55,False
1639.0,10.0,2.0,4.0,2.0,0.0,1.0,1591.0,True,2,True,3,NT-26-55,False
