bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
751.0,11.0,27.0,113.0,11.0,2.0,1.0,19.0,True,2,False,,30-50,True
3.0,14.0,140.0,3021.0,37.0,2.0,2.0,3.0,True,3,False,,30-50,True
764.0,14.0,18.0,229.0,21.0,0.0,1.0,19.0,True,2,False,,30-52,True
4.0,25.0,327.0,3040.0,53.0,1.0,1.0,3.0,True,3,False,,30-52,True
935.0,18.0,21.0,32.0,6.0,0.0,0.0,16.0,True,2,False,,30-54,True
4.0,6.0,117.0,3972.0,46.0,1.0,1.0,2.0,True,3,False,,30-54,True
696.0,14.0,16.0,369.0,14.0,1.0,0.0,14.0,True,2,False,,30-56,True
2.0,3.0,78.0,4406.0,35.0,1.0,2.0,2.0,True,3,False,,30-56,True
746.0,14.0,16.0,868.0,21.0,1.0,1.0,19.0,True,2,False,,30-58,True
5.0,4.0,84.0,3838.0,41.0,1.0,2.0,4.0,True,3,False,,30-58,True
715.0,13.0,14.0,690.0,23.0,1.0,1.0,28.0,True,2,False,,30-60,True
3.0,4.0,98.0,4338.0,39.0,1.0,1.0,2.0,True,3,False,,30-60,True
973.0,6.0,2.0,3.0,2.0,1.0,13.0,1702.0,True,2,True,3,NT-30-30,False
6.0,6.0,52.0,4813.0,62.0,3.0,3.0,7.0,True,3,True,1,NT-30-30,False
887.0,6.0,2.0,4.0,1.0,0.0,6.0,1810.0,True,2,True,3,NT-32-30,False
1.0,3.0,38.0,4107.0,60.0,2.0,1.0,5.0,True,3,True,1,NT-32-30,False
1235.0,6.0,2.0,1.0,1.0,0.0,20.0,1925.0,True,2,True,3,NT-34-30,False
1.0,3.0,46.0,4410.0,50.0,1.0,1.0,4.0,True,3,True,1,NT-34-30,False
984.0,7.0,2.0,3.0,1.0,0.0,24.0,1944.0,True,2,True,3,NT-36-30,False
1.0,2.0,44.0,4070.0,47.0,1.0,1.0,4.0,True,3,True,1,NT-36-30,False
1525.0,11.0,2.0,1.0,1.0,0.0,26.0,2044.0,True,2,True,3,NT-38-30,False
1.0,2.0,46.0,4162.0,50.0,1.0,1.0,3.0,True,3,True,1,NT-38-30,False
1469.0,9.0,3.0,3.0,1.0,0.0,30.0,2081.0,True,2,True,3,NT-39-30,False
1.0,3.0,39.0,4060.0,49.0,1.0,1.0,4.0,True,3,True,1,NT-39-30,False
1557.0,12.0,3.0,1.0,1.0,1.0,40.0,2016.0,True,2,True,3,NT-40-30,False
1.0,2.0,44.0,4162.0,52.0,1.0,1.0,3.0,True,3,True,1,NT-40-30,False
