"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,7510.0,42.0,1.0,1.0,0.0,0.0,0.0,21.0,True,2.0,True,4.0,44-30,True
1,841.0,7.0,334.0,1315.0,21.0,1.0,0.0,3.0,True,3.0,True,4.0,44-30,True
2,6725.0,389.0,7.0,5.0,4.0,0.0,0.0,14.0,True,2.0,True,4.0,46-32,True
3,3022.0,62.0,333.0,1213.0,4.0,9.0,1.0,5.0,True,3.0,True,4.0,46-32,True
4,4036.0,3745.0,0.0,0.0,0.0,0.0,0.0,13.0,True,2.0,True,4.0,48-34,True
5,4347.0,31.0,1322.0,1937.0,1.0,0.0,0.0,0.0,True,3.0,True,4.0,48-34,True
6,196.0,477.0,1030.0,1605.0,2.0,0.0,0.0,0.0,True,3.0,True,4.0,50-36,True
7,1985.0,2428.0,6.0,2.0,1.0,0.0,0.0,30.0,True,2.0,True,4.0,50-36,True
8,4404.0,126.0,3.0,3.0,118.0,138.0,7.0,28.0,True,2.0,True,4.0,52-38,True
9,339.0,2093.0,2060.0,1915.0,3.0,2.0,1.0,1.0,True,3.0,True,4.0,52-38,True
10,30.0,465.0,2253.0,1716.0,2.0,0.0,0.0,0.0,True,3.0,True,4.0,54-40,True
11,6966.0,12.0,0.0,0.0,0.0,0.0,1.0,52.0,True,2.0,True,4.0,54-40,True
12,2080.0,5.0,1.0,1.0,1.0,1.0,3.0,44.0,True,4.0,True,4.0,NT-26-36,False
13,1472.0,180.0,367.0,1732.0,4.0,0.0,0.0,1.0,True,3.0,True,4.0,NT-26-36,False
14,2216.0,5.0,1.0,1.0,1.0,0.0,3.0,49.0,True,4.0,True,4.0,NT-28-38,False
15,908.0,199.0,368.0,1775.0,5.0,0.0,0.0,1.0,True,3.0,True,4.0,NT-28-38,False
16,2406.0,4.0,1.0,2.0,1.0,1.0,3.0,43.0,False,NaN,True,4.0,NT-30-40,False
17,1189.0,257.0,374.0,1785.0,8.0,0.0,0.0,1.0,True,3.0,True,4.0,NT-30-40,False
18,3307.0,5.0,1.0,2.0,1.0,1.0,2.0,49.0,True,4.0,True,4.0,NT-32-42,False
19,924.0,498.0,384.0,1869.0,5.0,0.0,0.0,1.0,True,3.0,True,4.0,NT-32-42,False
20,2684.0,4.0,1.0,1.0,1.0,1.0,3.0,49.0,True,4.0,True,4.0,NT-34-44,False
21,776.0,706.0,413.0,1830.0,5.0,0.0,0.0,1.0,True,3.0,True,4.0,NT-34-44,False
22,3507.0,5.0,1.0,1.0,1.0,0.0,3.0,56.0,True,4.0,True,4.0,NT-36-46,False
23,616.0,745.0,397.0,1847.0,5.0,0.0,0.0,1.0,True,3.0,True,4.0,NT-36-46,False
24,1565.0,85.0,8.0,7.0,7.0,0.0,2.0,25.0,True,2.0,False,NaN,32-30,True
25,33.0,213.0,497.0,1115.0,56.0,17.0,3.0,2.0,True,3.0,True,4.0,32-30,True
26,10.0,895.0,313.0,1238.0,11.0,3.0,1.0,3.0,True,3.0,True,4.0,34-32,True
27,1755.0,425.0,7.0,5.0,6.0,1.0,1.0,15.0,True,2.0,False,NaN,34-32,True
28,1366.0,630.0,145.0,2.0,3.0,0.0,1.0,13.0,True,2.0,False,NaN,36-34,True
29,199.0,2037.0,400.0,1643.0,21.0,19.0,2.0,4.0,True,3.0,True,4.0,36-34,True
30,1108.0,110.0,255.0,6.0,2.0,0.0,1.0,43.0,True,2.0,False,NaN,38-36,True
31,2013.0,1209.0,707.0,2007.0,2.0,0.0,0.0,1.0,True,3.0,True,4.0,38-36,True
32,1129.0,63.0,191.0,19.0,10.0,0.0,1.0,38.0,True,2.0,False,NaN,40-38,True
33,2682.0,1148.0,976.0,2214.0,4.0,0.0,1.0,1.0,True,3.0,True,4.0,40-38,True
34,1731.0,2128.0,68.0,1.0,1.0,0.0,0.0,37.0,True,2.0,True,4.0,42-40,True
35,3161.0,847.0,976.0,2351.0,4.0,1.0,2.0,2.0,True,3.0,True,4.0,42-40,True
36,2097.0,5.0,1.0,1.0,2.0,1.0,2.0,48.0,False,NaN,True,4.0,NT-26-28,False
37,1065.0,226.0,254.0,1521.0,9.0,1.0,1.0,3.0,True,3.0,True,4.0,NT-26-28,False
38,2078.0,5.0,1.0,1.0,1.0,1.0,2.0,49.0,True,4.0,True,4.0,NT-26-30,False
39,3073.0,357.0,323.0,2116.0,15.0,2.0,1.0,3.0,True,3.0,True,4.0,NT-26-30,False
40,1900.0,5.0,1.0,1.0,1.0,0.0,2.0,46.0,True,4.0,True,4.0,NT-26-32,False
41,3584.0,307.0,398.0,2206.0,11.0,1.0,2.0,6.0,True,3.0,True,4.0,NT-26-32,False
42,2372.0,5.0,1.0,1.0,1.0,1.0,3.0,45.0,True,4.0,True,4.0,NT-26-34,False
43,4321.0,293.0,410.0,2149.0,15.0,2.0,1.0,2.0,True,3.0,True,4.0,NT-26-34,False
44,1930.0,5.0,1.0,1.0,1.0,1.0,3.0,48.0,True,4.0,True,4.0,NT-26-36,False
45,1559.0,171.0,312.0,1740.0,10.0,0.0,0.0,1.0,True,3.0,True,4.0,NT-26-36,False
46,2433.0,5.0,1.0,1.0,1.0,1.0,3.0,47.0,True,4.0,True,4.0,NT-26-38,False
47,2599.0,224.0,324.0,1704.0,11.0,0.0,0.0,0.0,True,3.0,True,4.0,NT-26-38,False
48,786.0,130.0,235.0,1140.0,22.0,7.0,1.0,1.0,True,3.0,True,4.0,34-30,True
49,2504.0,1212.0,4.0,3.0,24.0,0.0,1.0,12.0,True,2.0,True,4.0,34-30,True
50,410.0,83.0,251.0,1090.0,172.0,3.0,1.0,1.0,True,3.0,False,NaN,36-32,True
51,4722.0,316.0,7.0,5.0,9.0,0.0,0.0,17.0,True,2.0,True,4.0,36-32,True
52,2521.0,265.0,245.0,935.0,20.0,0.0,1.0,1.0,True,3.0,True,4.0,38-34,True
53,6118.0,712.0,2.0,2.0,0.0,0.0,1.0,50.0,True,2.0,True,4.0,38-34,True
54,5118.0,194.0,2.0,1.0,1.0,0.0,1.0,59.0,True,2.0,True,4.0,40-36,True
55,2121.0,116.0,287.0,1069.0,83.0,0.0,0.0,2.0,True,3.0,True,4.0,40-36,True
56,2307.0,51.0,276.0,1093.0,33.0,0.0,0.0,0.0,True,3.0,True,4.0,42-38,True
57,5264.0,280.0,2.0,0.0,1.0,0.0,1.0,31.0,True,2.0,True,4.0,42-38,True
58,5169.0,230.0,2.0,1.0,1.0,0.0,2.0,55.0,True,2.0,True,4.0,44-40,True
59,1845.0,39.0,297.0,1243.0,27.0,0.0,0.0,0.0,True,3.0,True,4.0,44-40,True
60,2122.0,5.0,1.0,1.0,2.0,1.0,2.0,44.0,True,4.0,True,4.0,NT-26-28,False
61,992.0,77.0,265.0,1496.0,6.0,0.0,0.0,0.0,True,3.0,True,4.0,NT-26-28,False
62,2623.0,5.0,1.0,1.0,1.0,1.0,3.0,46.0,True,4.0,True,4.0,NT-26-30,False
63,833.0,114.0,289.0,1511.0,5.0,0.0,0.0,0.0,True,3.0,True,4.0,NT-26-30,False
64,2176.0,5.0,1.0,1.0,1.0,1.0,3.0,49.0,True,4.0,True,4.0,NT-26-32,False
65,731.0,81.0,282.0,1588.0,8.0,0.0,0.0,0.0,True,3.0,True,4.0,NT-26-32,False
66,2081.0,6.0,1.0,1.0,1.0,1.0,3.0,43.0,True,4.0,True,4.0,NT-26-34,False
67,818.0,120.0,300.0,1628.0,6.0,0.0,0.0,0.0,True,3.0,True,4.0,NT-26-34,False
68,2540.0,6.0,1.0,1.0,1.0,1.0,3.0,53.0,True,4.0,True,4.0,NT-26-36,False
69,1180.0,89.0,308.0,1579.0,4.0,0.0,0.0,0.0,True,3.0,True,4.0,NT-26-36,False
70,2336.0,5.0,1.0,1.0,1.0,1.0,3.0,43.0,True,4.0,True,4.0,NT-26-38,False
71,1230.0,163.0,305.0,1514.0,5.0,0.0,0.0,0.0,True,3.0,True,4.0,NT-26-38,False
72,6096.0,333.0,2.0,1.0,1.0,0.0,1.0,45.0,True,2.0,True,4.0,40-30,True
73,1126.0,179.0,179.0,1571.0,41.0,6.0,1.0,2.0,True,3.0,False,NaN,40-30,True
74,3547.0,1513.0,2.0,1.0,1.0,0.0,1.0,46.0,True,2.0,True,4.0,42-32,True
75,2077.0,247.0,230.0,1668.0,56.0,7.0,2.0,5.0,True,3.0,True,4.0,42-32,True
76,2943.0,2094.0,19.0,3.0,1.0,0.0,1.0,43.0,True,2.0,True,4.0,44-34,True
77,3101.0,533.0,420.0,2078.0,11.0,0.0,0.0,0.0,True,3.0,True,4.0,44-34,True
78,2175.0,3738.0,49.0,0.0,1.0,0.0,1.0,53.0,True,2.0,True,4.0,46-36,True
79,5343.0,233.0,805.0,2659.0,1.0,10.0,3.0,6.0,True,3.0,True,4.0,46-36,True
80,1621.0,2748.0,8.0,0.0,1.0,1.0,2.0,38.0,True,2.0,True,4.0,48-38,True
81,4139.0,750.0,895.0,2567.0,1.0,3.0,1.0,1.0,True,3.0,True,4.0,48-38,True
82,937.0,209.0,129.0,2.0,1.0,1.0,2.0,38.0,True,2.0,True,4.0,50-40,True
83,834.0,2410.0,1143.0,2662.0,1.0,0.0,0.0,1.0,True,3.0,True,4.0,50-40,True
84,2188.0,6.0,1.0,1.0,1.0,0.0,2.0,41.0,True,2.0,True,4.0,NT-24-26,False
85,2408.0,304.0,121.0,2177.0,4.0,5.0,3.0,8.0,True,3.0,True,4.0,NT-24-26,False
86,2192.0,5.0,1.0,1.0,1.0,0.0,2.0,44.0,True,2.0,True,4.0,NT-24-28,False
87,1878.0,383.0,267.0,2422.0,4.0,1.0,0.0,0.0,True,3.0,True,4.0,NT-24-28,False
88,2234.0,5.0,1.0,1.0,1.0,1.0,2.0,39.0,True,4.0,True,4.0,NT-24-30,False
89,2735.0,247.0,311.0,2193.0,3.0,2.0,1.0,3.0,True,3.0,True,4.0,NT-24-30,False
90,2180.0,6.0,1.0,1.0,1.0,1.0,2.0,44.0,True,4.0,True,4.0,NT-24-32,False
91,3598.0,271.0,296.0,2265.0,4.0,4.0,1.0,4.0,True,3.0,True,4.0,NT-24-32,False
92,2140.0,5.0,1.0,1.0,1.0,1.0,3.0,39.0,True,4.0,True,4.0,NT-24-34,False
93,3321.0,310.0,308.0,2279.0,3.0,0.0,0.0,2.0,True,3.0,True,4.0,NT-24-34,False
