bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
6096.0,333.0,2.0,1.0,1.0,0.0,1.0,45.0,True,2,True,4,40-30,True
1126.0,179.0,179.0,1571.0,41.0,6.0,1.0,2.0,True,3,False,,40-30,True
3547.0,1513.0,2.0,1.0,1.0,0.0,1.0,46.0,True,2,True,4,42-32,True
2077.0,247.0,230.0,1668.0,56.0,7.0,2.0,5.0,True,3,True,4,42-32,True
2943.0,2094.0,19.0,3.0,1.0,0.0,1.0,43.0,True,2,True,4,44-34,True
3101.0,533.0,420.0,2078.0,11.0,0.0,0.0,0.0,True,3,True,4,44-34,True
2175.0,3738.0,49.0,0.0,1.0,0.0,1.0,53.0,True,2,True,4,46-36,True
5343.0,233.0,805.0,2659.0,1.0,10.0,3.0,6.0,True,3,True,4,46-36,True
1621.0,2748.0,8.0,0.0,1.0,1.0,2.0,38.0,True,2,True,4,48-38,True
4139.0,750.0,895.0,2567.0,1.0,3.0,1.0,1.0,True,3,True,4,48-38,True
937.0,209.0,129.0,2.0,1.0,1.0,2.0,38.0,True,2,True,4,50-40,True
834.0,2410.0,1143.0,2662.0,1.0,0.0,0.0,1.0,True,3,True,4,50-40,True
2188.0,6.0,1.0,1.0,1.0,0.0,2.0,41.0,True,2,True,4,NT-24-26,False
2408.0,304.0,121.0,2177.0,4.0,5.0,3.0,8.0,True,3,True,4,NT-24-26,False
2192.0,5.0,1.0,1.0,1.0,0.0,2.0,44.0,True,2,True,4,NT-24-28,False
1878.0,383.0,267.0,2422.0,4.0,1.0,0.0,0.0,True,3,False,,NT-24-28,False
2234.0,5.0,1.0,1.0,1.0,1.0,2.0,39.0,True,4,False,,NT-24-30,False
2735.0,247.0,311.0,2193.0,3.0,2.0,1.0,3.0,True,3,True,4,NT-24-30,False
2180.0,6.0,1.0,1.0,1.0,1.0,2.0,44.0,True,4,False,,NT-24-32,False
3598.0,271.0,296.0,2265.0,4.0,4.0,1.0,4.0,True,3,True,4,NT-24-32,False
2140.0,5.0,1.0,1.0,1.0,1.0,3.0,39.0,True,4,False,,NT-24-34,False
3321.0,310.0,308.0,2279.0,3.0,0.0,0.0,2.0,True,3,True,4,NT-24-34,False
2198.0,5.0,1.0,1.0,1.0,0.0,2.0,44.0,True,4,False,,NT-24-36,False
3816.0,366.0,341.0,2373.0,8.0,0.0,0.0,0.0,True,3,True,4,NT-24-36,False
