bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1995.0,109.0,2.0,3.0,1.0,1.0,1.0,21.0,True,2,False,,35-35,True
1730.0,17.0,26.0,2840.0,76.0,2.0,1.0,3.0,True,3,True,4,35-35,True
4236.0,15.0,0.0,1.0,1.0,0.0,1.0,45.0,True,2,True,4,40-37,True
649.0,712.0,319.0,2851.0,6.0,0.0,1.0,2.0,True,3,False,,40-37,True
4668.0,84.0,5.0,2.0,7.0,2.0,2.0,34.0,True,2,True,4,40-39,True
841.0,184.0,51.0,3089.0,30.0,0.0,0.0,5.0,True,3,False,,40-39,True
5042.0,41.0,4.0,1.0,1.0,0.0,1.0,48.0,True,2,True,4,40-41,True
853.0,111.0,56.0,3256.0,34.0,1.0,1.0,7.0,True,3,False,,40-41,True
4305.0,48.0,5.0,3.0,2.0,0.0,1.0,47.0,True,2,True,4,40-43,True
1490.0,45.0,18.0,3166.0,75.0,6.0,4.0,15.0,True,3,False,,40-43,True
5400.0,149.0,9.0,6.0,1.0,0.0,1.0,47.0,True,2,True,4,40-45,True
1747.0,95.0,16.0,3412.0,30.0,1.0,1.0,13.0,True,3,False,,40-45,True
1914.0,4.0,0.0,1.0,2.0,0.0,1.0,43.0,True,2,True,4,NT-24-26,False
2454.0,368.0,217.0,2081.0,2.0,1.0,1.0,3.0,True,3,True,4,NT-24-26,False
2217.0,3.0,0.0,1.0,2.0,0.0,1.0,44.0,True,4,False,,NT-24-28,False
1904.0,217.0,195.0,2034.0,3.0,0.0,1.0,1.0,True,3,True,4,NT-24-28,False
2144.0,4.0,0.0,1.0,1.0,0.0,1.0,44.0,True,4,False,,NT-24-30,False
1831.0,242.0,229.0,2077.0,2.0,0.0,1.0,1.0,True,3,True,4,NT-24-30,False
2256.0,4.0,0.0,1.0,2.0,1.0,1.0,41.0,True,4,False,,NT-24-32,False
3097.0,366.0,332.0,2415.0,2.0,1.0,1.0,3.0,True,3,True,4,NT-24-32,False
1957.0,3.0,0.0,1.0,2.0,0.0,1.0,46.0,False,,False,,NT-24-34,False
3851.0,343.0,381.0,2478.0,1.0,1.0,1.0,3.0,True,3,True,4,NT-24-34,False
2285.0,4.0,0.0,1.0,2.0,0.0,1.0,44.0,True,4,False,,NT-24-36,False
3391.0,530.0,320.0,2638.0,2.0,1.0,0.0,1.0,True,3,True,4,NT-24-36,False
