bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
738.0,23.0,9.0,22.0,2.0,0.0,1.0,42.0,True,2,False,,33-35,True
18.0,159.0,306.0,2011.0,19.0,1.0,0.0,1.0,True,3,False,,33-35,True
35.0,2053.0,187.0,1845.0,11.0,1.0,1.0,1.0,True,3,True,4,35-37,True
802.0,25.0,23.0,22.0,11.0,2.0,2.0,14.0,True,2,False,,35-37,True
264.0,543.0,148.0,1691.0,8.0,20.0,2.0,3.0,True,3,True,4,37-39,True
929.0,828.0,111.0,24.0,27.0,4.0,2.0,30.0,True,2,False,,37-39,True
1064.0,699.0,13.0,4.0,19.0,10.0,3.0,13.0,True,2,False,,39-41,True
634.0,45.0,117.0,1359.0,23.0,9.0,3.0,4.0,True,3,True,4,39-41,True
3175.0,3120.0,4.0,0.0,1.0,0.0,1.0,17.0,True,2,True,4,41-43,True
475.0,49.0,133.0,1670.0,17.0,2.0,1.0,3.0,True,3,False,,41-43,True
608.0,35.0,113.0,1696.0,34.0,3.0,1.0,4.0,True,3,False,,43-45,True
3869.0,4470.0,4.0,0.0,1.0,0.0,0.0,12.0,True,2,True,4,43-45,True
1640.0,4.0,0.0,1.0,1.0,0.0,2.0,45.0,False,,False,,NT-24-26,False
2879.0,269.0,198.0,1973.0,6.0,2.0,1.0,4.0,True,3,True,4,NT-24-26,False
1246.0,5.0,0.0,1.0,1.0,1.0,1.0,43.0,True,2,False,,NT-24-28,False
3355.0,295.0,289.0,2034.0,5.0,1.0,1.0,2.0,True,3,True,4,NT-24-28,False
2338.0,4.0,0.0,1.0,2.0,0.0,1.0,44.0,True,4,False,,NT-24-30,False
3148.0,310.0,324.0,2109.0,3.0,4.0,1.0,6.0,True,3,True,4,NT-24-30,False
2106.0,4.0,0.0,1.0,2.0,1.0,1.0,44.0,True,2,True,4,NT-24-32,False
3452.0,294.0,352.0,2200.0,5.0,1.0,2.0,4.0,True,3,True,4,NT-24-32,False
2088.0,4.0,0.0,1.0,2.0,0.0,1.0,43.0,True,4,False,,NT-24-34,False
3602.0,289.0,374.0,2247.0,9.0,0.0,0.0,2.0,True,3,True,4,NT-24-34,False
2450.0,4.0,0.0,1.0,2.0,0.0,1.0,41.0,True,2,True,4,NT-24-36,False
4165.0,360.0,404.0,2424.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-24-36,False
