bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1529.0,10.0,1.0,2.0,8.0,2.0,1.0,9.0,False,,False,,25-23,True
26.0,92.0,194.0,1942.0,21.0,3.0,1.0,4.0,True,3,False,,25-23,True
1660.0,7.0,1.0,1.0,10.0,1.0,0.0,10.0,False,,False,,27-25,True
34.0,206.0,163.0,2002.0,29.0,6.0,3.0,7.0,True,3,False,,27-25,True
1586.0,21.0,2.0,3.0,19.0,4.0,2.0,20.0,False,,False,,29-27,True
75.0,268.0,287.0,2111.0,28.0,4.0,2.0,4.0,True,3,False,,29-27,True
1637.0,31.0,2.0,4.0,6.0,2.0,1.0,46.0,False,,False,,31-29,True
1216.0,41.0,13.0,1806.0,20.0,7.0,3.0,11.0,True,3,True,4,31-29,True
1631.0,34.0,2.0,2.0,2.0,0.0,1.0,55.0,False,,False,,33-31,True
1140.0,215.0,33.0,2398.0,24.0,3.0,2.0,21.0,True,3,True,4,33-31,True
1502.0,116.0,2.0,2.0,2.0,1.0,1.0,55.0,False,,False,,35-33,True
2267.0,26.0,14.0,2251.0,46.0,24.0,3.0,8.0,True,3,True,4,35-33,True
2305.0,3.0,0.0,1.0,1.0,0.0,0.0,37.0,True,4,False,,NT-24-26,False
2021.0,218.0,286.0,2008.0,6.0,0.0,0.0,2.0,True,3,True,4,NT-24-26,False
2129.0,2.0,0.0,1.0,2.0,0.0,1.0,52.0,False,,False,,NT-24-28,False
2226.0,182.0,316.0,2000.0,6.0,1.0,0.0,2.0,True,3,True,4,NT-24-28,False
2193.0,3.0,0.0,1.0,1.0,1.0,1.0,51.0,True,4,False,,NT-24-30,False
2306.0,179.0,340.0,2132.0,3.0,0.0,0.0,2.0,True,3,True,4,NT-24-30,False
2049.0,3.0,0.0,1.0,2.0,0.0,1.0,49.0,True,4,False,,NT-24-32,False
1304.0,59.0,278.0,1908.0,5.0,0.0,0.0,1.0,True,3,True,4,NT-24-32,False
871.0,84.0,300.0,1913.0,6.0,0.0,0.0,1.0,True,3,True,4,NT-24-34,False
2293.0,3.0,0.0,1.0,1.0,0.0,0.0,42.0,True,4,False,,NT-24-34,False
2636.0,3.0,0.0,1.0,1.0,0.0,1.0,33.0,True,4,False,,NT-24-36,False
3415.0,378.0,406.0,2460.0,4.0,1.0,0.0,1.0,True,3,True,4,NT-24-36,False
