bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
33.0,99.0,203.0,1773.0,21.0,3.0,2.0,1.0,True,3,False,,35-28,True
1660.0,11.0,1.0,1.0,2.0,1.0,2.0,54.0,False,,False,,35-28,True
1806.0,20.0,1.0,3.0,2.0,1.0,1.0,52.0,False,,False,,37-28,True
425.0,6.0,181.0,1713.0,7.0,0.0,0.0,2.0,True,3,False,,37-28,True
780.0,9.0,151.0,1804.0,9.0,1.0,1.0,10.0,True,3,True,4,39-28,True
3082.0,16.0,1.0,1.0,1.0,1.0,1.0,37.0,False,,False,,39-28,True
190.0,1.0,234.0,2195.0,3.0,0.0,0.0,1.0,True,3,False,,41-28,True
3333.0,64.0,1.0,1.0,41.0,54.0,1.0,37.0,True,4,False,,41-28,True
424.0,3.0,251.0,2269.0,1.0,0.0,0.0,2.0,True,3,False,,43-28,True
3881.0,16.0,1.0,2.0,9.0,15.0,1.0,35.0,True,4,False,,43-28,True
3.0,1.0,249.0,2307.0,2.0,0.0,0.0,0.0,True,3,False,,45-28,True
4743.0,118.0,16.0,27.0,45.0,1.0,1.0,58.0,True,4,False,,45-28,True
1109.0,189.0,332.0,1698.0,3.0,1.0,0.0,1.0,True,3,True,4,NT-35-36,False
3256.0,3.0,0.0,0.0,1.0,0.0,0.0,46.0,False,,False,,NT-35-36,False
918.0,215.0,352.0,1738.0,6.0,0.0,0.0,1.0,True,3,True,4,NT-35-38,False
3558.0,2.0,0.0,0.0,1.0,0.0,0.0,44.0,False,,False,,NT-35-38,False
1295.0,346.0,385.0,1874.0,3.0,0.0,1.0,1.0,True,3,True,4,NT-35-40,False
3635.0,3.0,0.0,0.0,1.0,0.0,1.0,46.0,False,,False,,NT-35-40,False
870.0,380.0,411.0,1903.0,3.0,0.0,1.0,1.0,True,3,True,4,NT-35-42,False
3916.0,2.0,0.0,0.0,2.0,0.0,0.0,45.0,False,,False,,NT-35-42,False
682.0,395.0,418.0,1819.0,8.0,0.0,0.0,0.0,True,3,True,4,NT-35-44,False
3520.0,3.0,0.0,1.0,1.0,0.0,1.0,47.0,False,,False,,NT-35-44,False
574.0,547.0,403.0,1770.0,10.0,0.0,0.0,1.0,True,3,True,4,NT-35-46,False
2927.0,3.0,0.0,1.0,2.0,0.0,1.0,61.0,False,,False,,NT-35-46,False
