bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
2271.0,4.0,1.0,1.0,6.0,0.0,1.0,28.0,False,,False,,35-30,True
106.0,65.0,291.0,2008.0,58.0,4.0,2.0,5.0,True,3,False,,35-30,True
1847.0,8.0,1.0,2.0,15.0,2.0,2.0,33.0,False,,False,,37-30,True
120.0,71.0,198.0,1942.0,16.0,3.0,5.0,13.0,True,3,False,,37-30,True
1680.0,169.0,9.0,16.0,1.0,0.0,1.0,45.0,False,,False,,39-30,True
1517.0,13.0,228.0,2133.0,4.0,0.0,0.0,2.0,True,3,True,4,39-30,True
2475.0,106.0,3.0,2.0,1.0,0.0,0.0,42.0,False,,False,,41-30,True
1444.0,18.0,191.0,2151.0,5.0,0.0,1.0,3.0,True,3,True,4,41-30,True
3287.0,45.0,2.0,1.0,5.0,0.0,1.0,40.0,True,4,False,,43-30,True
855.0,10.0,200.0,2202.0,11.0,4.0,2.0,9.0,True,3,True,4,43-30,True
3730.0,27.0,3.0,2.0,10.0,0.0,1.0,40.0,True,4,False,,45-30,True
389.0,18.0,277.0,2474.0,3.0,0.0,0.0,2.0,True,3,False,,45-30,True
2352.0,6.0,0.0,1.0,1.0,0.0,1.0,50.0,True,4,False,,NT-30-40,False
754.0,284.0,390.0,1807.0,4.0,0.0,0.0,1.0,True,3,True,4,NT-30-40,False
2504.0,4.0,0.0,1.0,1.0,0.0,1.0,49.0,True,4,False,,NT-32-42,False
995.0,370.0,390.0,1836.0,4.0,0.0,0.0,1.0,True,3,True,4,NT-32-42,False
3515.0,4.0,0.0,1.0,1.0,0.0,1.0,48.0,True,4,False,,NT-34-44,False
655.0,485.0,405.0,1806.0,5.0,0.0,0.0,1.0,True,3,True,4,NT-34-44,False
2838.0,5.0,0.0,1.0,1.0,0.0,1.0,52.0,True,4,False,,NT-36-46,False
437.0,611.0,426.0,1764.0,6.0,0.0,0.0,1.0,True,3,True,4,NT-36-46,False
3060.0,4.0,0.0,1.0,1.0,0.0,1.0,50.0,True,4,False,,NT-38-48,False
491.0,785.0,427.0,1775.0,7.0,0.0,0.0,1.0,True,3,True,4,NT-38-48,False
3729.0,6.0,0.0,1.0,1.0,0.0,1.0,55.0,True,4,False,,NT-40-50,False
408.0,711.0,424.0,1697.0,9.0,0.0,0.0,0.0,True,3,True,4,NT-40-50,False
