bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
3082.0,479.0,3.0,2.0,5.0,3.0,1.0,21.0,True,4,False,,35-30,True
2662.0,179.0,414.0,2324.0,0.0,0.0,0.0,0.0,True,3,True,4,35-30,True
3103.0,1340.0,3.0,1.0,4.0,0.0,0.0,20.0,True,2,True,4,37-32,True
3279.0,187.0,375.0,2391.0,0.0,0.0,0.0,0.0,True,3,True,4,37-32,True
2742.0,4634.0,2.0,0.0,0.0,0.0,0.0,22.0,True,2,True,4,39-34,True
3333.0,112.0,522.0,2537.0,0.0,0.0,0.0,1.0,True,3,True,4,39-34,True
2154.0,2309.0,2.0,0.0,0.0,0.0,0.0,42.0,True,2,True,4,41-36,True
4284.0,141.0,839.0,2708.0,1.0,0.0,1.0,1.0,True,3,True,4,41-36,True
2685.0,89.0,399.0,2605.0,1.0,0.0,0.0,0.0,True,3,True,4,43-38,True
2071.0,3613.0,1.0,0.0,0.0,0.0,0.0,28.0,True,2,True,4,43-38,True
2244.0,4159.0,1.0,0.0,0.0,0.0,0.0,45.0,True,2,True,4,45-40,True
5089.0,159.0,821.0,2904.0,3.0,0.0,0.0,1.0,True,3,True,4,45-40,True
2026.0,3.0,0.0,1.0,1.0,0.0,2.0,47.0,True,4,False,,NT-24-26,False
1312.0,340.0,218.0,1906.0,2.0,0.0,1.0,1.0,True,3,True,4,NT-24-26,False
1946.0,3.0,0.0,1.0,1.0,0.0,2.0,46.0,True,4,False,,NT-24-28,False
1088.0,219.0,217.0,1991.0,1.0,0.0,1.0,1.0,True,3,True,4,NT-24-28,False
2044.0,3.0,0.0,1.0,1.0,0.0,1.0,44.0,True,4,False,,NT-24-30,False
1605.0,203.0,237.0,2057.0,1.0,0.0,1.0,1.0,True,3,True,4,NT-24-30,False
1810.0,4.0,0.0,1.0,1.0,0.0,1.0,45.0,True,4,False,,NT-24-32,False
1694.0,165.0,266.0,2130.0,2.0,0.0,1.0,0.0,True,3,True,4,NT-24-32,False
2017.0,3.0,0.0,1.0,1.0,0.0,1.0,47.0,False,,False,,NT-24-34,False
1464.0,219.0,285.0,2219.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-24-34,False
2203.0,3.0,0.0,1.0,1.0,0.0,2.0,46.0,True,4,False,,NT-24-36,False
1151.0,318.0,318.0,2254.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-24-36,False
