bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
786.0,130.0,235.0,1140.0,22.0,7.0,1.0,1.0,True,3,True,4,34-30,True
2504.0,1212.0,4.0,3.0,24.0,0.0,1.0,12.0,True,2,True,4,34-30,True
410.0,83.0,251.0,1090.0,172.0,3.0,1.0,1.0,True,3,False,,36-32,True
4722.0,316.0,7.0,5.0,9.0,0.0,0.0,17.0,True,2,True,4,36-32,True
2521.0,265.0,245.0,935.0,20.0,0.0,1.0,1.0,True,3,True,4,38-34,True
6118.0,712.0,2.0,2.0,0.0,0.0,1.0,50.0,True,2,True,4,38-34,True
5118.0,194.0,2.0,1.0,1.0,0.0,1.0,59.0,True,2,True,4,40-36,True
2121.0,116.0,287.0,1069.0,83.0,0.0,0.0,2.0,True,3,True,4,40-36,True
2307.0,51.0,276.0,1093.0,33.0,0.0,0.0,0.0,True,3,True,4,42-38,True
5264.0,280.0,2.0,0.0,1.0,0.0,1.0,31.0,True,2,True,4,42-38,True
5169.0,230.0,2.0,1.0,1.0,0.0,2.0,55.0,True,2,True,4,44-40,True
1845.0,39.0,297.0,1243.0,27.0,0.0,0.0,0.0,True,3,True,4,44-40,True
2122.0,5.0,1.0,1.0,2.0,1.0,2.0,44.0,True,4,False,,NT-26-28,False
992.0,77.0,265.0,1496.0,6.0,0.0,0.0,0.0,True,3,True,4,NT-26-28,False
2623.0,5.0,1.0,1.0,1.0,1.0,3.0,46.0,True,4,False,,NT-26-30,False
833.0,114.0,289.0,1511.0,5.0,0.0,0.0,0.0,True,3,True,4,NT-26-30,False
2176.0,5.0,1.0,1.0,1.0,1.0,3.0,49.0,True,4,False,,NT-26-32,False
731.0,81.0,282.0,1588.0,8.0,0.0,0.0,0.0,True,3,True,4,NT-26-32,False
2081.0,6.0,1.0,1.0,1.0,1.0,3.0,43.0,True,4,False,,NT-26-34,False
818.0,120.0,300.0,1628.0,6.0,0.0,0.0,0.0,True,3,True,4,NT-26-34,False
2540.0,6.0,1.0,1.0,1.0,1.0,3.0,53.0,True,4,False,,NT-26-36,False
1180.0,89.0,308.0,1579.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-26-36,False
2336.0,5.0,1.0,1.0,1.0,1.0,3.0,43.0,True,4,False,,NT-26-38,False
1230.0,163.0,305.0,1514.0,5.0,0.0,0.0,0.0,True,3,True,4,NT-26-38,False
