bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
33.0,393.0,285.0,1533.0,6.0,6.0,5.0,8.0,True,3,True,4,35-30,True
1490.0,21.0,4.0,5.0,15.0,4.0,2.0,31.0,True,2,False,,35-30,True
27.0,398.0,410.0,1586.0,10.0,0.0,0.0,0.0,True,3,True,4,36-30,True
1602.0,276.0,15.0,4.0,1.0,0.0,1.0,52.0,True,2,False,,36-30,True
702.0,111.0,76.0,10.0,6.0,1.0,2.0,37.0,True,2,False,,37-30,True
12.0,1210.0,213.0,1412.0,3.0,0.0,0.0,0.0,True,3,True,4,37-30,True
1044.0,146.0,249.0,1469.0,5.0,0.0,1.0,1.0,True,3,True,4,38-30,True
1205.0,693.0,21.0,4.0,1.0,0.0,1.0,34.0,True,2,False,,38-30,True
1166.0,115.0,212.0,1487.0,4.0,8.0,1.0,1.0,True,3,True,4,39-30,True
1320.0,1143.0,8.0,5.0,1.0,0.0,1.0,50.0,True,2,True,4,39-30,True
1433.0,189.0,204.0,1498.0,6.0,2.0,1.0,2.0,True,3,True,4,40-30,True
1238.0,1542.0,6.0,1.0,0.0,0.0,1.0,28.0,True,2,True,4,40-30,True
1943.0,5.0,1.0,1.0,1.0,1.0,3.0,52.0,True,2,True,4,NT-24-27,False
2305.0,199.0,318.0,1917.0,17.0,0.0,1.0,5.0,True,3,True,4,NT-24-27,False
1993.0,5.0,1.0,1.0,1.0,1.0,3.0,45.0,True,4,False,,NT-24-29,False
2416.0,196.0,352.0,2007.0,20.0,0.0,1.0,5.0,True,3,True,4,NT-24-29,False
2515.0,7.0,1.0,1.0,1.0,1.0,3.0,54.0,True,2,True,4,NT-24-31,False
838.0,119.0,292.0,1865.0,13.0,1.0,0.0,2.0,True,3,True,4,NT-24-31,False
1810.0,6.0,1.0,1.0,1.0,1.0,3.0,46.0,True,4,False,,NT-24-33,False
2784.0,261.0,411.0,2166.0,5.0,0.0,0.0,2.0,True,3,True,4,NT-24-33,False
1849.0,5.0,1.0,1.0,1.0,1.0,3.0,49.0,True,2,False,,NT-24-35,False
3754.0,345.0,346.0,2308.0,5.0,1.0,0.0,1.0,True,3,True,4,NT-24-35,False
2302.0,6.0,1.0,1.0,1.0,1.0,3.0,48.0,True,2,True,4,NT-24-37,False
820.0,150.0,334.0,1933.0,5.0,0.0,0.0,0.0,True,3,True,4,NT-24-37,False
