bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
4263.0,207.0,6.0,6.0,6.0,0.0,1.0,47.0,True,4,False,,45-35,True
469.0,25.0,129.0,2343.0,94.0,4.0,2.0,6.0,True,3,False,,45-35,True
3448.0,224.0,4.0,6.0,93.0,1.0,0.0,31.0,True,4,False,,47-37,True
1874.0,10.0,117.0,2172.0,21.0,10.0,3.0,6.0,True,3,True,4,47-37,True
2609.0,786.0,3.0,1.0,36.0,14.0,0.0,24.0,True,4,False,,49-39,True
3791.0,5.0,203.0,2905.0,4.0,0.0,0.0,2.0,True,3,True,4,49-39,True
1521.0,687.0,7.0,3.0,1.0,0.0,1.0,47.0,True,4,False,,51-41,True
448.0,277.0,262.0,3062.0,2.0,0.0,0.0,1.0,True,3,True,4,51-41,True
1746.0,714.0,7.0,6.0,1.0,0.0,0.0,48.0,True,2,True,4,53-43,True
509.0,87.0,283.0,3248.0,3.0,0.0,0.0,1.0,True,3,True,4,53-43,True
826.0,1741.0,34.0,11.0,5.0,0.0,1.0,32.0,True,4,False,,55-45,True
638.0,274.0,270.0,3341.0,3.0,0.0,0.0,0.0,True,3,True,4,55-45,True
2677.0,282.0,234.0,1786.0,10.0,3.0,1.0,10.0,True,3,True,4,NT-24-26,False
3386.0,8.0,0.0,1.0,0.0,0.0,0.0,12.0,True,4,False,,NT-24-26,False
1927.0,287.0,292.0,1762.0,9.0,3.0,1.0,5.0,True,3,True,4,NT-24-28,False
3445.0,9.0,0.0,1.0,1.0,0.0,0.0,16.0,True,4,False,,NT-24-28,False
1917.0,331.0,294.0,1870.0,13.0,0.0,1.0,7.0,True,3,True,4,NT-24-30,False
3233.0,7.0,0.0,1.0,1.0,0.0,1.0,31.0,True,4,False,,NT-24-30,False
2709.0,3.0,0.0,1.0,1.0,0.0,1.0,46.0,True,4,False,,NT-24-32,False
3702.0,380.0,356.0,2138.0,7.0,2.0,4.0,9.0,True,3,True,4,NT-24-32,False
2697.0,5.0,0.0,1.0,1.0,0.0,1.0,45.0,True,4,False,,NT-24-34,False
4155.0,305.0,407.0,2208.0,8.0,1.0,2.0,4.0,True,3,True,4,NT-24-34,False
1916.0,180.0,294.0,1718.0,11.0,0.0,0.0,1.0,True,3,True,4,NT-24-36,False
2603.0,5.0,0.0,1.0,1.0,0.0,1.0,42.0,True,4,False,,NT-24-36,False
