bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1721.0,3469.0,5.0,1.0,2.0,0.0,0.0,11.0,True,2,True,4,35-40,True
1671.0,730.0,285.0,1068.0,16.0,0.0,0.0,0.0,True,3,True,4,35-40,True
1778.0,2426.0,44.0,2.0,1.0,0.0,0.0,25.0,True,2,True,4,35-42,True
1838.0,845.0,256.0,943.0,19.0,2.0,0.0,0.0,True,3,True,4,35-42,True
1289.0,1822.0,72.0,0.0,1.0,0.0,1.0,13.0,True,2,True,4,35-44,True
68.0,3371.0,285.0,979.0,7.0,0.0,0.0,0.0,True,3,True,4,35-44,True
1110.0,807.0,1677.0,1.0,1.0,0.0,1.0,12.0,True,2,False,,35-46,True
2021.0,1354.0,314.0,1601.0,4.0,0.0,1.0,1.0,True,3,True,4,35-46,True
1348.0,156.0,2757.0,6.0,8.0,0.0,2.0,8.0,True,2,False,,35-48,True
432.0,4903.0,355.0,1868.0,1.0,0.0,0.0,0.0,True,3,True,4,35-48,True
1638.0,37.0,3623.0,10.0,1.0,0.0,0.0,9.0,True,2,False,,35-50,True
615.0,5489.0,355.0,1938.0,1.0,0.0,0.0,0.0,True,3,True,4,35-50,True
4052.0,12.0,0.0,1.0,1.0,0.0,1.0,55.0,True,4,False,,NT-55-26,False
313.0,154.0,224.0,1761.0,1.0,0.0,0.0,0.0,True,3,True,4,NT-55-26,False
5077.0,12.0,0.0,1.0,1.0,0.0,1.0,57.0,True,4,False,,NT-55-28,False
820.0,154.0,234.0,1872.0,1.0,0.0,0.0,0.0,True,3,True,4,NT-55-28,False
4964.0,13.0,1.0,1.0,2.0,0.0,1.0,58.0,True,4,False,,NT-55-30,False
383.0,154.0,422.0,1733.0,4.0,1.0,1.0,0.0,True,3,True,4,NT-55-30,False
4754.0,13.0,0.0,1.0,1.0,0.0,1.0,58.0,True,4,False,,NT-55-32,False
831.0,196.0,381.0,1762.0,3.0,1.0,0.0,0.0,True,3,True,4,NT-55-32,False
4356.0,5.0,1.0,1.0,2.0,0.0,1.0,56.0,True,4,False,,NT-55-34,False
1967.0,144.0,384.0,1687.0,3.0,0.0,0.0,1.0,True,3,True,4,NT-55-34,False
4701.0,10.0,1.0,1.0,1.0,0.0,1.0,61.0,True,4,False,,NT-55-36,False
2757.0,103.0,427.0,1682.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-55-36,False
