bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1474.0,2001.0,3.0,3.0,2.0,0.0,0.0,24.0,True,2,True,4,34-39,True
3175.0,194.0,222.0,2307.0,4.0,0.0,0.0,0.0,True,3,True,4,34-39,True
1695.0,2840.0,1.0,0.0,1.0,0.0,0.0,18.0,True,2,True,4,34-41,True
1450.0,3775.0,370.0,2886.0,0.0,0.0,0.0,0.0,True,3,True,4,34-41,True
1342.0,1205.0,37.0,1.0,1.0,0.0,1.0,40.0,True,2,False,,34-43,True
4497.0,428.0,370.0,2913.0,3.0,1.0,0.0,1.0,True,3,True,4,34-43,True
1419.0,986.0,23.0,2.0,4.0,0.0,1.0,16.0,True,2,False,,34-45,True
135.0,4619.0,459.0,2847.0,2.0,0.0,0.0,0.0,True,3,True,4,34-45,True
1177.0,147.0,236.0,5.0,7.0,0.0,1.0,22.0,True,2,False,,34-47,True
199.0,7768.0,436.0,3164.0,2.0,2.0,0.0,0.0,True,3,True,4,34-47,True
1463.0,72.0,386.0,5.0,8.0,2.0,4.0,10.0,True,2,False,,34-49,True
302.0,6658.0,498.0,3251.0,3.0,5.0,1.0,23.0,True,3,True,4,34-49,True
4082.0,10.0,0.0,1.0,1.0,0.0,1.0,60.0,True,4,False,,NT-54-26,False
1797.0,406.0,266.0,2126.0,1.0,0.0,0.0,1.0,True,3,True,4,NT-54-26,False
4648.0,9.0,0.0,1.0,2.0,1.0,1.0,54.0,True,4,False,,NT-54-28,False
2269.0,262.0,283.0,2197.0,1.0,1.0,1.0,1.0,True,3,True,4,NT-54-28,False
5387.0,11.0,0.0,1.0,1.0,0.0,1.0,55.0,True,4,False,,NT-54-30,False
2196.0,375.0,279.0,2364.0,2.0,0.0,0.0,1.0,True,3,True,4,NT-54-30,False
4159.0,14.0,0.0,1.0,2.0,0.0,1.0,59.0,True,4,False,,NT-54-32,False
2463.0,430.0,343.0,2442.0,1.0,1.0,0.0,0.0,True,3,True,4,NT-54-32,False
4701.0,15.0,0.0,1.0,1.0,0.0,1.0,58.0,True,4,False,,NT-54-34,False
2200.0,477.0,426.0,2553.0,1.0,1.0,0.0,0.0,True,3,True,4,NT-54-34,False
3882.0,11.0,0.0,1.0,1.0,0.0,1.0,57.0,True,4,False,,NT-54-36,False
3166.0,611.0,327.0,2777.0,1.0,1.0,0.0,1.0,True,3,True,4,NT-54-36,False
