"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,2008.0,400.0,445.0,1460.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-28-28,False
1,0.0,0.0,70.0,7486.0,7.0,0.0,0.0,1.0,True,3,True,1,NT-28-28,False
2,1944.0,347.0,495.0,1537.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-30,False
3,0.0,0.0,78.0,8205.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-30,False
4,1263.0,446.0,530.0,1605.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-32,False
5,0.0,0.0,84.0,8579.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-32,False
6,1562.0,428.0,587.0,1674.0,6.0,0.0,0.0,0.0,True,3,True,4,NT-34,False
7,0.0,0.0,105.0,8502.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-34,False
8,2209.0,327.0,596.0,1702.0,2.0,0.0,0.0,0.0,True,3,True,4,NT-36,False
9,0.0,0.0,143.0,7864.0,9.0,0.0,0.0,0.0,True,3,True,1,NT-36,False
10,1701.0,317.0,644.0,1818.0,5.0,0.0,0.0,0.0,True,3,True,4,NT-38,False
11,0.0,0.0,180.0,10094.0,14.0,0.0,0.0,0.0,True,3,True,1,NT-38,False
12,3051.0,549.0,467.0,1457.0,1.0,1.0,0.0,1.0,True,3,True,4,NT-28-28,False
13,0.0,0.0,13.0,12346.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-28-28,False
14,1976.0,310.0,470.0,1529.0,2.0,0.0,0.0,1.0,True,3,True,4,NT-30-30,False
15,0.0,0.0,12.0,11522.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-30-30,False
16,2040.0,289.0,516.0,1591.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-32-32,False
17,0.0,1.0,33.0,8974.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-32-32,False
18,1705.0,485.0,567.0,1662.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-34,False
19,0.0,0.0,59.0,9174.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-34,False
20,2259.0,275.0,590.0,1723.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-36,False
21,0.0,1.0,26.0,12017.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-36,False
22,2671.0,331.0,635.0,1780.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-38,False
23,0.0,2.0,76.0,10789.0,9.0,0.0,0.0,0.0,True,3,True,1,NT-38,False
24,2992.0,406.0,657.0,1785.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-28,False
25,0.0,0.0,108.0,6718.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-28,False
26,1806.0,295.0,483.0,1523.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-30,False
27,0.0,1.0,121.0,7723.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-30,False
28,2128.0,343.0,510.0,1635.0,1.0,0.0,0.0,0.0,True,3,True,4,NT-32,False
29,0.0,0.0,140.0,7895.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-32,False
30,1663.0,343.0,562.0,1645.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-34,False
31,0.0,1.0,160.0,8080.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-34,False
32,3374.0,474.0,616.0,1727.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-36,False
33,0.0,0.0,183.0,8475.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-36,False
34,2538.0,337.0,634.0,1777.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-38-38,False
35,0.0,1.0,289.0,9202.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
36,1492.0,476.0,443.0,1480.0,1.0,0.0,0.0,0.0,True,3,True,4,NT-28-24,False
37,0.0,0.0,86.0,6097.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-28-24,False
38,2275.0,348.0,485.0,1529.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-30-26,False
39,0.0,0.0,91.0,6488.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-30-26,False
40,1821.0,288.0,530.0,1611.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-32-28,False
41,0.0,1.0,121.0,7339.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-32-28,False
42,1717.0,340.0,588.0,1604.0,2.0,0.0,0.0,1.0,True,3,True,4,NT-34-30,False
43,0.0,1.0,126.0,8144.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-34-30,False
44,2086.0,252.0,597.0,1675.0,3.0,1.0,0.0,0.0,True,3,True,4,NT-36-32,False
45,0.0,1.0,152.0,9230.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-36-32,False
46,2580.0,289.0,635.0,1766.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-38-34,False
47,0.0,0.0,168.0,7882.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-38-34,False
48,3190.0,502.0,602.0,1780.0,5.0,2.0,1.0,6.0,True,3,True,4,30-30,True
49,1.0,11.0,164.0,7331.0,6.0,0.0,0.0,0.0,True,3,True,1,30-30,True
50,3209.0,470.0,584.0,1735.0,3.0,2.0,1.0,1.0,True,3,True,4,NT-40-24,False
51,0.0,0.0,48.0,6035.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-40-24,False
52,3345.0,492.0,595.0,1686.0,2.0,1.0,1.0,1.0,True,3,True,4,NT-40-26,False
53,0.0,0.0,57.0,6638.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-40-26,False
54,3479.0,467.0,612.0,1666.0,4.0,2.0,1.0,2.0,True,3,True,4,NT-40-28,False
55,0.0,0.0,54.0,6458.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-40-28,False
56,3484.0,575.0,639.0,1690.0,2.0,6.0,2.0,6.0,True,3,True,4,NT-40-30,False
57,0.0,0.0,60.0,7673.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-40-30,False
58,3462.0,412.0,604.0,1735.0,4.0,1.0,1.0,1.0,True,3,True,4,NT-40-32,False
59,0.0,1.0,71.0,6793.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-40-32,False
60,3059.0,484.0,596.0,1671.0,2.0,2.0,1.0,1.0,True,3,True,4,NT-40-34,False
61,0.0,0.0,137.0,8512.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-40-34,False
