bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
3936.0,180.0,389.0,2311.0,13.0,1.0,1.0,0.0,True,3,True,4,NT-38-28,False
0.0,0.0,116.0,6769.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-38-28,False
3562.0,198.0,373.0,2251.0,15.0,1.0,1.0,2.0,True,3,True,4,NT-38-30,False
0.0,0.0,123.0,7530.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-38-30,False
3701.0,201.0,394.0,2307.0,16.0,3.0,1.0,0.0,True,3,True,4,NT-38-32,False
0.0,1.0,140.0,6790.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-38-32,False
3567.0,195.0,399.0,2289.0,12.0,1.0,1.0,4.0,True,3,True,4,NT-38-34,False
0.0,1.0,155.0,7886.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-38-34,False
3865.0,201.0,402.0,2226.0,17.0,2.0,1.0,1.0,True,3,True,4,NT-38-36,False
0.0,2.0,158.0,8882.0,1.0,0.0,0.0,0.0,True,3,True,1,NT-38-36,False
3840.0,198.0,405.0,2230.0,17.0,1.0,1.0,3.0,True,3,True,4,NT-38-38,False
0.0,1.0,171.0,9563.0,3.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
