bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
3389.0,179.0,401.0,2318.0,16.0,1.0,1.0,2.0,True,3,True,4,NT-38-30,False
0.0,0.0,88.0,7669.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-38-30,False
3738.0,206.0,391.0,2295.0,15.0,2.0,1.0,1.0,True,3,True,4,NT-38-32,False
0.0,0.0,111.0,7080.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-38-32,False
3993.0,199.0,383.0,2249.0,14.0,1.0,1.0,0.0,True,3,True,4,NT-38-34,False
0.0,0.0,155.0,9140.0,11.0,0.0,0.0,0.0,True,3,True,1,NT-38-34,False
3501.0,172.0,382.0,2263.0,21.0,1.0,1.0,4.0,True,3,True,4,NT-38-36,False
0.0,0.0,131.0,8446.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-38-36,False
4104.0,196.0,388.0,2239.0,15.0,2.0,1.0,2.0,True,3,True,4,NT-38-38,False
0.0,0.0,169.0,9723.0,11.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
3383.0,172.0,409.0,2227.0,15.0,3.0,1.0,0.0,True,3,True,4,NT-38-40,False
0.0,0.0,236.0,8554.0,12.0,0.0,0.0,0.0,True,3,True,1,NT-38-40,False
