bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
4317.0,102.0,368.0,2141.0,6.0,0.0,0.0,0.0,True,3,True,4,NT-38-32,False
0.0,0.0,117.0,7367.0,8.0,0.0,0.0,1.0,True,3,True,1,NT-38-32,False
3453.0,105.0,386.0,2163.0,6.0,0.0,0.0,0.0,True,3,True,4,NT-38-34,False
0.0,0.0,146.0,8379.0,10.0,0.0,0.0,0.0,True,3,True,1,NT-38-34,False
3356.0,121.0,391.0,2193.0,5.0,0.0,0.0,0.0,True,3,True,4,NT-38-36,False
0.0,0.0,142.0,8039.0,17.0,0.0,0.0,0.0,True,3,True,1,NT-38-36,False
3815.0,107.0,393.0,2243.0,6.0,0.0,0.0,0.0,True,3,True,4,NT-38-38,False
0.0,0.0,246.0,8122.0,10.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
3792.0,107.0,396.0,2243.0,7.0,0.0,0.0,0.0,True,3,True,4,NT-38-40,False
0.0,3.0,543.0,9430.0,12.0,0.0,0.0,0.0,True,3,True,1,NT-38-40,False
3717.0,112.0,378.0,2211.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-38-42,False
1.0,8.0,731.0,9558.0,6.0,0.0,0.0,5.0,True,3,True,1,NT-38-42,False
