bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
4183.0,128.0,398.0,2203.0,11.0,0.0,0.0,1.0,True,3,True,4,NT-38-24,False
1.0,4.0,157.0,6478.0,10.0,0.0,0.0,1.0,True,3,True,1,NT-38-24,False
4806.0,190.0,407.0,2211.0,17.0,1.0,0.0,0.0,True,3,True,4,NT-38-26,False
0.0,2.0,185.0,6310.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-38-26,False
4650.0,174.0,408.0,2188.0,11.0,0.0,0.0,0.0,True,3,True,4,NT-38-28,False
0.0,1.0,223.0,7573.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-38-28,False
4805.0,196.0,407.0,2187.0,13.0,0.0,0.0,1.0,True,3,True,4,NT-38-30,False
0.0,2.0,185.0,7996.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-38-30,False
4173.0,113.0,412.0,2218.0,10.0,0.0,0.0,1.0,True,3,True,4,NT-38-32,False
0.0,2.0,169.0,9150.0,9.0,0.0,0.0,0.0,True,3,True,1,NT-38-32,False
4405.0,182.0,402.0,2206.0,6.0,0.0,0.0,0.0,True,3,True,4,NT-38-34,False
0.0,5.0,205.0,9604.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-38-34,False
