bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
3051.0,549.0,467.0,1457.0,1.0,1.0,0.0,1.0,True,3,True,4,NT-28-28,False
0.0,0.0,13.0,12346.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-28-28,False
1976.0,310.0,470.0,1529.0,2.0,0.0,0.0,1.0,True,3,True,4,NT-30-30,False
0.0,0.0,12.0,11522.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-30-30,False
2040.0,289.0,516.0,1591.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-32-32,False
0.0,1.0,33.0,8974.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-32-32,False
1705.0,485.0,567.0,1662.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-34,False
0.0,0.0,59.0,9174.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-34,False
2259.0,275.0,590.0,1723.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-36,False
0.0,1.0,26.0,12017.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-36,False
2671.0,331.0,635.0,1780.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-38,False
0.0,2.0,76.0,10789.0,9.0,0.0,0.0,0.0,True,3,True,1,NT-38,False
