bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
1492.0,476.0,443.0,1480.0,1.0,0.0,0.0,0.0,True,3,True,4,NT-28-24,False
0.0,0.0,86.0,6097.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-28-24,False
2275.0,348.0,485.0,1529.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-30-26,False
0.0,0.0,91.0,6488.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-30-26,False
1821.0,288.0,530.0,1611.0,4.0,0.0,0.0,0.0,True,3,True,4,NT-32-28,False
0.0,1.0,121.0,7339.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-32-28,False
1717.0,340.0,588.0,1604.0,2.0,0.0,0.0,1.0,True,3,True,4,NT-34-30,False
0.0,1.0,126.0,8144.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-34-30,False
2086.0,252.0,597.0,1675.0,3.0,1.0,0.0,0.0,True,3,True,4,NT-36-32,False
0.0,1.0,152.0,9230.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-36-32,False
2580.0,289.0,635.0,1766.0,3.0,0.0,0.0,0.0,True,3,True,4,NT-38-34,False
0.0,0.0,168.0,7882.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-38-34,False
