bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
3190.0,502.0,602.0,1780.0,5.0,2.0,1.0,6.0,True,3,True,4,30-30,True
1.0,11.0,164.0,7331.0,6.0,0.0,0.0,0.0,True,3,True,1,30-30,True
3209.0,470.0,584.0,1735.0,3.0,2.0,1.0,1.0,True,3,True,4,NT-40-24,False
0.0,0.0,48.0,6035.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-40-24,False
3345.0,492.0,595.0,1686.0,2.0,1.0,1.0,1.0,True,3,True,4,NT-40-26,False
0.0,0.0,57.0,6638.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-40-26,False
3479.0,467.0,612.0,1666.0,4.0,2.0,1.0,2.0,True,3,True,4,NT-40-28,False
0.0,0.0,54.0,6458.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-40-28,False
3484.0,575.0,639.0,1690.0,2.0,6.0,2.0,6.0,True,3,True,4,NT-40-30,False
0.0,0.0,60.0,7673.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-40-30,False
3462.0,412.0,604.0,1735.0,4.0,1.0,1.0,1.0,True,3,True,4,NT-40-32,False
0.0,1.0,71.0,6793.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-40-32,False
3059.0,484.0,596.0,1671.0,2.0,2.0,1.0,1.0,True,3,True,4,NT-40-34,False
0.0,0.0,137.0,8512.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-40-34,False
