bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
2817.0,167.0,318.0,2288.0,33.0,0.0,0.0,0.0,True,3,True,4,NT-38-26,False
0.0,0.0,72.0,7226.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-38-26,False
2940.0,186.0,308.0,2270.0,34.0,0.0,0.0,1.0,True,3,True,4,NT-38-28,False
0.0,0.0,91.0,7152.0,4.0,0.0,0.0,0.0,True,3,True,1,NT-38-28,False
3572.0,146.0,311.0,2279.0,25.0,0.0,0.0,0.0,True,3,True,4,NT-38-30,False
0.0,0.0,95.0,7662.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-38-30,False
3774.0,145.0,307.0,2249.0,23.0,0.0,0.0,1.0,True,3,True,4,NT-38-32,False
0.0,0.0,99.0,8105.0,7.0,0.0,0.0,1.0,True,3,True,1,NT-38-32,False
3757.0,161.0,301.0,2280.0,19.0,0.0,0.0,0.0,True,3,True,4,NT-38-34,False
0.0,0.0,126.0,7966.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-38-34,False
3837.0,164.0,313.0,2299.0,22.0,0.0,0.0,0.0,True,3,True,4,NT-38-36,False
0.0,0.0,146.0,9044.0,7.0,0.0,0.0,0.0,True,3,True,1,NT-38-36,False
