bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
40.0,638.0,1114.0,749.0,10.0,0.0,0.0,2.0,True,3,True,4,25-44,True
5.0,5.0,227.0,2191.0,14.0,1.0,2.0,7.0,True,3,False,,25-44,True
16.0,1261.0,1508.0,976.0,8.0,0.0,0.0,1.0,True,3,True,4,25-46,True
5.0,5.0,274.0,2374.0,15.0,1.0,3.0,7.0,True,3,False,,25-46,True
6.0,1487.0,2204.0,1225.0,1.0,0.0,0.0,0.0,True,3,True,4,25-48,True
2.0,3.0,265.0,2547.0,18.0,1.0,3.0,1.0,True,3,False,,25-48,True
550.0,614.0,1350.0,603.0,12.0,0.0,0.0,3.0,True,3,True,4,25-50,True
0.0,5.0,758.0,3217.0,18.0,1.0,1.0,0.0,True,3,False,,25-50,True
6.0,1029.0,3800.0,2240.0,10.0,1.0,0.0,0.0,True,3,False,,25-52,True
0.0,0.0,269.0,2877.0,13.0,1.0,1.0,1.0,True,3,False,,25-52,True
10.0,1859.0,3148.0,2555.0,7.0,1.0,9.0,6.0,True,3,True,4,25-54,True
0.0,2.0,304.0,3521.0,17.0,1.0,1.0,1.0,True,3,False,,25-54,True
4927.0,247.0,92.0,2248.0,6.0,5.0,2.0,5.0,True,3,True,4,NT-38-30,False
0.0,0.0,125.0,7715.0,8.0,0.0,0.0,1.0,True,3,True,1,NT-38-30,False
4839.0,237.0,89.0,2377.0,6.0,7.0,2.0,4.0,True,3,True,4,NT-38-32,False
0.0,0.0,143.0,7702.0,9.0,0.0,0.0,1.0,True,3,True,1,NT-38-32,False
4439.0,236.0,115.0,2362.0,5.0,9.0,3.0,11.0,True,3,True,4,NT-38-34,False
0.0,0.0,162.0,8561.0,10.0,0.0,0.0,0.0,True,3,True,1,NT-38-34,False
4727.0,231.0,167.0,2537.0,7.0,7.0,3.0,5.0,True,3,True,4,NT-38-36,False
0.0,0.0,210.0,9118.0,10.0,0.0,0.0,0.0,True,3,True,1,NT-38-36,False
2830.0,213.0,185.0,2573.0,8.0,6.0,2.0,5.0,True,3,True,4,NT-38-38,False
0.0,1.0,320.0,9793.0,9.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
3985.0,172.0,243.0,2161.0,9.0,2.0,3.0,1.0,True,3,True,4,NT-38-40,False
0.0,0.0,570.0,9982.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-38-40,False
