bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
3693.0,323.0,356.0,2270.0,12.0,1.0,1.0,4.0,True,3,True,4,NT-38-28,False
0.0,1.0,135.0,7617.0,3.0,0.0,0.0,1.0,True,3,True,1,NT-38-28,False
3806.0,315.0,331.0,2292.0,8.0,3.0,1.0,0.0,True,3,True,4,NT-38-30,False
0.0,1.0,163.0,7117.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-38-30,False
3689.0,278.0,361.0,2324.0,12.0,2.0,2.0,4.0,True,3,True,4,NT-38-32,False
0.0,2.0,187.0,7527.0,5.0,0.0,1.0,1.0,True,3,True,1,NT-38-32,False
4473.0,299.0,372.0,2301.0,12.0,2.0,0.0,4.0,True,3,True,4,NT-38-34,False
0.0,2.0,213.0,7271.0,4.0,0.0,1.0,0.0,True,3,True,1,NT-38-34,False
4185.0,214.0,355.0,2278.0,13.0,2.0,1.0,5.0,True,3,True,4,NT-38-36,False
0.0,1.0,217.0,8724.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-38-36,False
4071.0,258.0,362.0,2269.0,14.0,2.0,1.0,3.0,True,3,True,4,NT-38-38,False
0.0,2.0,222.0,9561.0,5.0,0.0,0.0,0.0,True,3,True,1,NT-38-38,False
